rank,player,avg,total_sg_app,measured_rounds,tournament
45,Keegan Bradley,-0.041,-0.122,3,Farmers Insurance Open
46,Aaron Rai,-0.091,-0.273,3,Farmers Insurance Open
47,Chris Gotterup,-0.110,-0.331,3,Farmers Insurance Open
48,Taylor Montgomery,-0.176,-0.529,3,Farmers Insurance Open
49,Joseph Bramlett,-0.177,-0.532,3,Farmers Insurance Open
50,Thomas Detry,-0.204,-0.611,3,Farmers Insurance Open
51,Sami Valimaki,-0.222,-0.667,3,Farmers Insurance Open
52,Ben Taylor,-0.229,-0.688,3,Farmers Insurance Open
53,Min Woo Lee,-0.244,-0.733,3,Farmers Insurance Open
54,Joe Highsmith,-0.249,-0.746,3,Farmers Insurance Open
55,Erik Barnes,-0.299,-0.897,3,Farmers Insurance Open
56,Austin Eckroat,-0.319,-0.958,3,Farmers Insurance Open
57,Taylor Moore,-0.348,-1.043,3,Farmers Insurance Open
58,Harris English,-0.351,-1.052,3,Farmers Insurance Open
59,Patrick Cantlay,-0.416,-1.249,3,Farmers Insurance Open
60,Dylan Wu,-0.418,-1.253,3,Farmers Insurance Open
61,Lanto Griffin,-0.457,-1.371,3,Farmers Insurance Open
62,Brandt Snedeker,-0.521,-1.562,3,Farmers Insurance Open
63,Adam Schenk,-0.525,-1.574,3,Farmers Insurance Open
64,Zac Blair,-0.538,-1.615,3,Farmers Insurance Open
65,Ryan Brehm,-0.540,-1.619,3,Farmers Insurance Open
66,Charley Hoffman,-0.544,-1.633,3,Farmers Insurance Open
67,Jacob Bridgeman,-0.572,-1.716,3,Farmers Insurance Open
68,Maverick McNealy,-0.581,-1.743,3,Farmers Insurance Open
69,Hayden Springer,-0.672,-2.016,3,Farmers Insurance Open
70,Sahith Theegala,-0.686,-2.059,3,Farmers Insurance Open
71,Aaron Baddeley,-0.959,-2.876,3,Farmers Insurance Open
72,Kevin Dougherty,-1.102,-3.307,3,Farmers Insurance Open
73,Chad Ramey,-1.139,-3.416,3,Farmers Insurance Open
74,Alejandro Tosti,-1.302,-3.905,3,Farmers Insurance Open
75,S.H. Kim,-1.343,-4.029,3,Farmers Insurance Open
76,Chandler Phillips,-1.438,-4.314,3,Farmers Insurance Open
77,Francesco Molinari,-1.507,-4.520,3,Farmers Insurance Open
78,Taiga Semikawa,-1.544,-4.633,3,Farmers Insurance Open
79,Justin Suh,-2.837,-8.510,3,Farmers Insurance Open
1,Chris Kirk,1.930,7.722,4,Sony Open in Hawaii
2,Taylor Montgomery,1.779,7.116,4,Sony Open in Hawaii
3,Zac Blair,1.730,6.919,4,Sony Open in Hawaii
4,Nick Taylor,1.414,5.655,4,Sony Open in Hawaii
5,Harry Hall,1.329,5.315,4,Sony Open in Hawaii
6,Akshay Bhatia,1.313,5.254,4,Sony Open in Hawaii
7,K.H. Lee,1.286,5.146,4,Sony Open in Hawaii
8,Joel Dahmen,1.143,4.571,4,Sony Open in Hawaii
9,Matthieu Pavon,1.130,4.519,4,Sony Open in Hawaii
10,Erik van Rooyen,1.114,4.456,4,Sony Open in Hawaii
11,Keegan Bradley,1.019,4.078,4,Sony Open in Hawaii
12,Brandon Wu,0.930,3.722,4,Sony Open in Hawaii
13,Adam Svensson,0.859,3.435,4,Sony Open in Hawaii
14,Webb Simpson,0.799,3.195,4,Sony Open in Hawaii
15,Luke List,0.756,3.026,4,Sony Open in Hawaii
16,Justin Lower,0.737,2.948,4,Sony Open in Hawaii
17,Joseph Bramlett,0.722,2.887,4,Sony Open in Hawaii
17,Brendon Todd,0.722,2.887,4,Sony Open in Hawaii
19,Robby Shelton,0.714,2.855,4,Sony Open in Hawaii
20,J.T. Poston,0.691,2.763,4,Sony Open in Hawaii
21,Taylor Pendrith,0.688,2.753,4,Sony Open in Hawaii
22,Tyrrell Hatton,0.630,2.519,4,Sony Open in Hawaii
23,Emiliano Grillo,0.586,2.343,4,Sony Open in Hawaii
24,Kurt Kitayama,0.574,2.295,4,Sony Open in Hawaii
25,Si Woo Kim,0.558,2.234,4,Sony Open in Hawaii
26,Scott Stallings,0.532,2.128,4,Sony Open in Hawaii
26,Carl Yuan,0.532,2.127,4,Sony Open in Hawaii
28,Dylan Wu,0.529,2.117,4,Sony Open in Hawaii
29,Robert MacIntyre,0.517,2.069,4,Sony Open in Hawaii
30,Greyson Sigg,0.494,1.977,4,Sony Open in Hawaii
31,Grayson Murray,0.463,1.854,4,Sony Open in Hawaii
32,Eric Cole,0.450,1.799,4,Sony Open in Hawaii
33,Troy Merritt,0.445,1.782,4,Sony Open in Hawaii
34,Byeong Hun An,0.444,1.775,4,Sony Open in Hawaii
35,Seamus Power,0.443,1.771,4,Sony Open in Hawaii
36,Davis Thompson,0.424,1.697,4,Sony Open in Hawaii
37,Corey Conners,0.412,1.649,4,Sony Open in Hawaii
38,Patton Kizzire,0.372,1.488,4,Sony Open in Hawaii
39,Russell Henley,0.363,1.453,4,Sony Open in Hawaii
40,S.H. Kim,0.350,1.399,4,Sony Open in Hawaii
41,Ludvig Åberg,0.349,1.396,4,Sony Open in Hawaii
42,Chandler Phillips,0.312,1.249,4,Sony Open in Hawaii
43,Ben Kohles,0.296,1.185,4,Sony Open in Hawaii
44,Aaron Rai,0.268,1.072,4,Sony Open in Hawaii
45,Sam Stevens,0.236,0.944,4,Sony Open in Hawaii
46,Harris English,0.185,0.741,4,Sony Open in Hawaii
47,Alex Noren,0.181,0.723,4,Sony Open in Hawaii
48,Michael Kim,0.178,0.714,4,Sony Open in Hawaii
49,Billy Horschel,0.176,0.704,4,Sony Open in Hawaii
50,Hideki Matsuyama,0.108,0.433,4,Sony Open in Hawaii
51,Mark Hubbard,0.063,0.251,4,Sony Open in Hawaii
52,Nick Hardy,0.032,0.127,4,Sony Open in Hawaii
53,Ben Silverman,-0.034,-0.134,4,Sony Open in Hawaii
54,Yuto Katsuragawa,-0.078,-0.313,4,Sony Open in Hawaii
55,Brian Harman,-0.089,-0.354,4,Sony Open in Hawaii
56,Ben Griffin,-0.100,-0.400,4,Sony Open in Hawaii
57,Matt NeSmith,-0.115,-0.458,4,Sony Open in Hawaii
58,Austin Eckroat,-0.165,-0.660,4,Sony Open in Hawaii
59,Patrick Rodgers,-0.192,-0.767,4,Sony Open in Hawaii
60,Stewart Cink,-0.242,-0.966,4,Sony Open in Hawaii
61,Denny McCarthy,-0.268,-1.071,4,Sony Open in Hawaii
62,Cam Davis,-0.350,-1.401,4,Sony Open in Hawaii
63,Charley Hoffman,-0.362,-1.446,4,Sony Open in Hawaii
64,Parker Coody,-0.365,-1.459,4,Sony Open in Hawaii
65,Taiga Semikawa,-0.383,-1.532,4,Sony Open in Hawaii
66,Maverick McNealy,-0.390,-1.560,4,Sony Open in Hawaii
67,Ryo Hisatsune,-0.403,-1.611,4,Sony Open in Hawaii
68,Keith Mitchell,-0.431,-1.724,4,Sony Open in Hawaii
69,Stephan Jaeger,-0.475,-1.898,4,Sony Open in Hawaii
70,Justin Rose,-0.532,-2.129,4,Sony Open in Hawaii
71,Matt Wallace,-0.538,-2.150,4,Sony Open in Hawaii
72,Tyler Duncan,-0.662,-2.647,4,Sony Open in Hawaii
73,Andrew Putnam,-0.725,-2.898,4,Sony Open in Hawaii
74,Norman Xiong,-0.729,-2.914,4,Sony Open in Hawaii
75,Nico Echavarria,-0.863,-3.451,4,Sony Open in Hawaii
76,Jake Knapp,-0.986,-3.944,4,Sony Open in Hawaii
77,Will Gordon,-1.016,-4.065,4,Sony Open in Hawaii
78,Alejandro Tosti,-1.021,-4.083,4,Sony Open in Hawaii
79,Martin Trainer,-1.039,-4.157,4,Sony Open in Hawaii
80,Lanto Griffin,-1.188,-4.752,4,Sony Open in Hawaii
81,Garrick Higgo,-1.314,-5.257,4,Sony Open in Hawaii
1,Collin Morikawa,1.311,5.244,4,The Sentry
2,Scottie Scheffler,1.296,5.182,4,The Sentry
3,Lucas Glover,1.262,5.046,4,The Sentry
4,Corey Conners,1.131,4.524,4,The Sentry
5,Sepp Straka,1.016,4.065,4,The Sentry
6,Kurt Kitayama,0.997,3.988,4,The Sentry
7,Max Homa,0.946,3.784,4,The Sentry
8,Keegan Bradley,0.912,3.648,4,The Sentry
9,Tom Hoge,0.908,3.630,4,The Sentry
10,Patrick Rodgers,0.788,3.151,4,The Sentry
11,Sungjae Im,0.753,3.013,4,The Sentry
12,Brendon Todd,0.666,2.664,4,The Sentry
13,Sahith Theegala,0.664,2.654,4,The Sentry
14,Chris Kirk,0.625,2.501,4,The Sentry
15,Brian Harman,0.556,2.223,4,The Sentry
16,Jordan Spieth,0.435,1.738,4,The Sentry
17,Luke List,0.427,1.709,4,The Sentry
18,Adam Svensson,0.425,1.699,4,The Sentry
19,Eric Cole,0.399,1.597,4,The Sentry
20,Tyrrell Hatton,0.395,1.578,4,The Sentry
21,Denny McCarthy,0.319,1.274,4,The Sentry
22,Xander Schauffele,0.248,0.993,4,The Sentry
23,Mackenzie Hughes,0.213,0.850,4,The Sentry
24,Rickie Fowler,0.176,0.703,4,The Sentry
25,Cameron Young,0.170,0.678,4,The Sentry
26,Byeong Hun An,0.148,0.590,4,The Sentry
27,Andrew Putnam,0.145,0.578,4,The Sentry
28,Si Woo Kim,0.130,0.519,4,The Sentry
29,Nick Hardy,0.123,0.492,4,The Sentry
30,Tom Kim,0.112,0.449,4,The Sentry
31,Adam Schenk,0.060,0.238,4,The Sentry
32,Jason Day,0.059,0.236,4,The Sentry
33,Lee Hodges,0.039,0.157,4,The Sentry
34,Sam Burns,-0.076,-0.303,4,The Sentry
35,Patrick Cantlay,-0.092,-0.370,4,The Sentry
36,Ludvig Åberg,-0.094,-0.377,4,The Sentry
37,J.T. Poston,-0.146,-0.584,4,The Sentry
38,Nick Taylor,-0.297,-1.190,4,The Sentry
39,Wyndham Clark,-0.392,-1.568,4,The Sentry
40,Harris English,-0.399,-1.595,4,The Sentry
41,Tony Finau,-0.421,-1.683,4,The Sentry
42,Seamus Power,-0.483,-1.934,4,The Sentry
43,Viktor Hovland,-0.548,-2.194,4,The Sentry
44,Akshay Bhatia,-0.561,-2.243,4,The Sentry
45,Matt Wallace,-0.600,-2.399,4,The Sentry
46,Nico Echavarria,-0.602,-2.410,4,The Sentry
47,Erik van Rooyen,-0.612,-2.448,4,The Sentry
48,Hideki Matsuyama,-0.641,-2.566,4,The Sentry
49,Davis Riley,-0.765,-3.060,4,The Sentry
50,Taylor Moore,-0.797,-3.188,4,The Sentry
51,Adam Hadwin,-0.812,-3.247,4,The Sentry
52,Emiliano Grillo,-0.830,-3.319,4,The Sentry
53,Matt Fitzpatrick,-0.850,-3.402,4,The Sentry
54,Tommy Fleetwood,-1.011,-4.045,4,The Sentry
55,Russell Henley,-1.038,-4.152,4,The Sentry
56,Justin Rose,-1.069,-4.275,4,The Sentry
57,Cam Davis,-1.517,-6.067,4,The Sentry
58,Vincent Norrman,-1.531,-6.123,4,The Sentry
59,Camilo Villegas,-1.664,-6.657,4,The Sentry
