rank,player,avg,total_sg_putting,measured_rounds,tournament
67,Ryan Fox,-0.678,-2.710,4,Genesis Scottish Open
68,Niklas Norgaard,-0.728,-2.913,4,Genesis Scottish Open
69,Tommy Fleetwood,-0.744,-2.977,4,Genesis Scottish Open
70,Min Woo Lee,-0.843,-3.371,4,Genesis Scottish Open
71,Marcel Siem,-0.850,-3.401,4,Genesis Scottish Open
72,Haotong Li,-0.880,-3.520,4,Genesis Scottish Open
73,Cam Davis,-0.905,-3.621,4,Genesis Scottish Open
74,Gary Woodland,-1.794,-7.175,4,Genesis Scottish Open
1,Aaron Rai,2.230,8.918,4,John Deere Classic
2,Brendon Todd,1.971,7.883,4,John Deere Classic
3,Sami Valimaki,1.941,7.762,4,John Deere Classic
4,Ben Griffin,1.928,7.711,4,John Deere Classic
5,Davis Thompson,1.860,7.438,4,John Deere Classic
6,Andrew Novak,1.781,7.125,4,John Deere Classic
7,J.T. Poston,1.469,5.877,4,John Deere Classic
8,S.H. Kim,1.337,5.347,4,John Deere Classic
9,Pierceson Coody,1.295,5.178,4,John Deere Classic
10,Carson Young,1.082,4.329,4,John Deere Classic
11,Chandler Phillips,1.020,4.079,4,John Deere Classic
12,Scott Gutschewski,0.956,3.822,4,John Deere Classic
13,Denny McCarthy,0.946,3.785,4,John Deere Classic
14,Jason Day,0.882,3.529,4,John Deere Classic
15,Dylan Frittelli,0.878,3.510,4,John Deere Classic
16,Eric Cole,0.851,3.404,4,John Deere Classic
17,Hayden Springer,0.817,3.267,4,John Deere Classic
18,C.T. Pan,0.795,3.180,4,John Deere Classic
19,Jordan Spieth,0.776,3.104,4,John Deere Classic
20,Harry Hall,0.743,2.972,4,John Deere Classic
21,Patrick Rodgers,0.695,2.778,4,John Deere Classic
22,Chan Kim,0.687,2.747,4,John Deere Classic
23,Michael Thorbjornsen,0.652,2.608,4,John Deere Classic
24,Kevin Yu,0.651,2.603,4,John Deere Classic
25,Sam Stevens,0.650,2.601,4,John Deere Classic
26,Zach Johnson,0.627,2.507,4,John Deere Classic
27,Mac Meissner,0.592,2.368,4,John Deere Classic
28,Ben Silverman,0.552,2.209,4,John Deere Classic
29,J.J. Spaun,0.544,2.176,4,John Deere Classic
30,Ben Taylor,0.542,2.169,4,John Deere Classic
31,Sungjae Im,0.541,2.162,4,John Deere Classic
32,Luke Clanton,0.480,1.921,4,John Deere Classic
33,Lucas Glover,0.473,1.891,4,John Deere Classic
34,James Hahn,0.472,1.886,4,John Deere Classic
35,Thorbjørn Olesen,0.465,1.861,4,John Deere Classic
36,Kevin Chappell,0.437,1.747,4,John Deere Classic
37,Justin Lower,0.425,1.701,4,John Deere Classic
38,Bill Haas,0.374,1.497,4,John Deere Classic
39,Mark Hubbard,0.365,1.459,4,John Deere Classic
40,"Blaine Hale, Jr.",0.349,1.396,4,John Deere Classic
41,Rico Hoey,0.334,1.335,4,John Deere Classic
42,Stewart Cink,0.314,1.255,4,John Deere Classic
43,Nico Echavarria,0.289,1.157,4,John Deere Classic
44,Seamus Power,0.272,1.088,4,John Deere Classic
45,Kevin Dougherty,0.265,1.059,4,John Deere Classic
45,Adrien Dumont de Chassart,0.265,1.060,4,John Deere Classic
47,Beau Hossler,0.255,1.018,4,John Deere Classic
48,Ben Kohles,0.123,0.490,4,John Deere Classic
49,Jake Knapp,0.114,0.456,4,John Deere Classic
50,Roger Sloan,0.050,0.198,4,John Deere Classic
51,Justin Suh,0.032,0.129,4,John Deere Classic
52,Sam Ryder,-0.039,-0.158,4,John Deere Classic
53,Ryan Palmer,-0.046,-0.184,4,John Deere Classic
54,Chesson Hadley,-0.121,-0.483,4,John Deere Classic
55,Bud Cauley,-0.176,-0.704,4,John Deere Classic
56,Brice Garnett,-0.180,-0.719,4,John Deere Classic
57,David Lipsky,-0.207,-0.830,4,John Deere Classic
58,Zac Blair,-0.237,-0.950,4,John Deere Classic
59,Robby Shelton,-0.280,-1.122,4,John Deere Classic
60,Kevin Streelman,-0.298,-1.194,4,John Deere Classic
61,Trace Crowe,-0.302,-1.209,4,John Deere Classic
62,Keith Mitchell,-0.337,-1.349,4,John Deere Classic
63,Hayden Buckley,-0.382,-1.529,4,John Deere Classic
64,Max Greyserman,-0.404,-1.615,4,John Deere Classic
65,Jhonattan Vegas,-0.521,-2.084,4,John Deere Classic
66,Doug Ghim,-0.539,-2.157,4,John Deere Classic
67,Sepp Straka,-0.758,-3.031,4,John Deere Classic
68,Henrik Norlander,-0.864,-3.457,4,John Deere Classic
69,Adam Svensson,-0.931,-3.725,4,John Deere Classic
70,Austin Smotherman,-0.958,-3.833,4,John Deere Classic
71,Wilson Furr,-0.991,-3.964,4,John Deere Classic
72,Kyle Westmoreland,-1.026,-4.106,4,John Deere Classic
73,Ryo Hisatsune,-1.053,-4.212,4,John Deere Classic
74,Joshua Creel,-1.172,-4.687,4,John Deere Classic
75,Joel Dahmen,-1.357,-5.430,4,John Deere Classic
76,Matt NeSmith,-1.377,-5.507,4,John Deere Classic
77,Lee Hodges,-2.061,-8.244,4,John Deere Classic
1,Dylan Wu,1.704,6.817,4,Rocket Mortgage Classic
2,Brandon Wu,1.659,6.637,4,Rocket Mortgage Classic
3,Andrew Novak,1.598,6.391,4,Rocket Mortgage Classic
4,Taylor Moore,1.485,5.941,4,Rocket Mortgage Classic
5,Sam Stevens,1.439,5.757,4,Rocket Mortgage Classic
6,Rico Hoey,1.421,5.683,4,Rocket Mortgage Classic
7,Erik van Rooyen,1.357,5.426,4,Rocket Mortgage Classic
8,"Blaine Hale, Jr.",1.307,5.227,4,Rocket Mortgage Classic
9,Justin Lower,1.242,4.966,4,Rocket Mortgage Classic
10,Aaron Rai,1.200,4.798,4,Rocket Mortgage Classic
11,J.J. Spaun,1.133,4.533,4,Rocket Mortgage Classic
12,Luke List,1.085,4.338,4,Rocket Mortgage Classic
13,Hayden Springer,1.078,4.312,4,Rocket Mortgage Classic
14,Maverick McNealy,1.067,4.266,4,Rocket Mortgage Classic
15,Patrick Rodgers,0.972,3.889,4,Rocket Mortgage Classic
16,Max Greyserman,0.961,3.844,4,Rocket Mortgage Classic
17,Akshay Bhatia,0.957,3.828,4,Rocket Mortgage Classic
18,Roger Sloan,0.941,3.764,4,Rocket Mortgage Classic
19,David Skinns,0.939,3.756,4,Rocket Mortgage Classic
20,Cam Davis,0.916,3.665,4,Rocket Mortgage Classic
21,Luke Clanton,0.880,3.521,4,Rocket Mortgage Classic
22,Bud Cauley,0.860,3.440,4,Rocket Mortgage Classic
23,Ben Silverman,0.858,3.430,4,Rocket Mortgage Classic
24,Ryan McCormick,0.845,3.378,4,Rocket Mortgage Classic
25,Nate Lashley,0.808,3.232,4,Rocket Mortgage Classic
26,Taylor Montgomery,0.762,3.047,4,Rocket Mortgage Classic
27,Chandler Phillips,0.731,2.925,4,Rocket Mortgage Classic
28,Aaron Baddeley,0.689,2.755,4,Rocket Mortgage Classic
29,Davis Riley,0.656,2.622,4,Rocket Mortgage Classic
30,Matt Kuchar,0.631,2.524,4,Rocket Mortgage Classic
31,Robby Shelton,0.630,2.518,4,Rocket Mortgage Classic
32,Troy Merritt,0.620,2.479,4,Rocket Mortgage Classic
33,Harry Hall,0.617,2.467,4,Rocket Mortgage Classic
34,Nicholas Lindheim,0.603,2.411,4,Rocket Mortgage Classic
35,Min Woo Lee,0.556,2.223,4,Rocket Mortgage Classic
36,Eric Cole,0.539,2.155,4,Rocket Mortgage Classic
37,Davis Thompson,0.538,2.153,4,Rocket Mortgage Classic
38,Pierceson Coody,0.508,2.031,4,Rocket Mortgage Classic
39,Matti Schmid,0.493,1.972,4,Rocket Mortgage Classic
40,Michael Kim,0.464,1.856,4,Rocket Mortgage Classic
41,Zach Johnson,0.445,1.781,4,Rocket Mortgage Classic
42,Nick Dunlap,0.376,1.505,4,Rocket Mortgage Classic
43,Ryan Moore,0.370,1.479,4,Rocket Mortgage Classic
44,Ben Kohles,0.293,1.172,4,Rocket Mortgage Classic
45,Kevin Yu,0.288,1.150,4,Rocket Mortgage Classic
46,Rickie Fowler,0.245,0.978,4,Rocket Mortgage Classic
47,Mark Hubbard,0.224,0.897,4,Rocket Mortgage Classic
48,Ben Griffin,0.189,0.756,4,Rocket Mortgage Classic
49,Vince Whaley,0.091,0.363,4,Rocket Mortgage Classic
50,Cameron Young,-0.002,-0.010,4,Rocket Mortgage Classic
51,Peter Malnati,-0.029,-0.118,4,Rocket Mortgage Classic
52,Hayden Buckley,-0.041,-0.163,4,Rocket Mortgage Classic
53,Kevin Streelman,-0.081,-0.325,4,Rocket Mortgage Classic
54,Ryan Fox,-0.103,-0.411,4,Rocket Mortgage Classic
55,Ryo Hisatsune,-0.110,-0.441,4,Rocket Mortgage Classic
56,Nick Hardy,-0.130,-0.521,4,Rocket Mortgage Classic
57,Jacob Bridgeman,-0.145,-0.582,4,Rocket Mortgage Classic
58,Patton Kizzire,-0.203,-0.814,4,Rocket Mortgage Classic
59,Chris Kirk,-0.339,-1.357,4,Rocket Mortgage Classic
60,Joel Dahmen,-0.428,-1.713,4,Rocket Mortgage Classic
61,Carl Yuan,-0.437,-1.747,4,Rocket Mortgage Classic
62,Joe Highsmith,-0.494,-1.978,4,Rocket Mortgage Classic
63,Jhonattan Vegas,-0.523,-2.091,4,Rocket Mortgage Classic
64,Ben James,-0.554,-2.215,4,Rocket Mortgage Classic
65,Callum Tarren,-0.557,-2.228,4,Rocket Mortgage Classic
66,Nico Echavarria,-0.645,-2.580,4,Rocket Mortgage Classic
67,Neal Shipley,-0.659,-2.636,4,Rocket Mortgage Classic
68,Jake Knapp,-0.770,-3.079,4,Rocket Mortgage Classic
69,Beau Hossler,-0.882,-3.529,4,Rocket Mortgage Classic
70,Nicolai Højgaard,-0.898,-3.594,4,Rocket Mortgage Classic
71,Wesley Bryan,-1.014,-4.057,4,Rocket Mortgage Classic
72,Patrick Fishburn,-1.115,-4.459,4,Rocket Mortgage Classic
73,Chris Gotterup,-1.124,-4.497,4,Rocket Mortgage Classic
74,Taylor Pendrith,-1.304,-5.217,4,Rocket Mortgage Classic
1,Patrick Rodgers,1.647,6.586,4,Travelers Championship
2,Rickie Fowler,1.536,6.143,4,Travelers Championship
3,Patrick Cantlay,1.278,5.111,4,Travelers Championship
4,Xander Schauffele,1.195,4.779,4,Travelers Championship
5,Akshay Bhatia,1.138,4.550,4,Travelers Championship
6,Matthieu Pavon,1.111,4.445,4,Travelers Championship
7,Wyndham Clark,1.030,4.120,4,Travelers Championship
8,Andrew Putnam,0.959,3.834,4,Travelers Championship
9,Adam Scott,0.864,3.455,4,Travelers Championship
10,Eric Cole,0.803,3.213,4,Travelers Championship
11,Robert MacIntyre,0.788,3.150,4,Travelers Championship
12,Taylor Pendrith,0.720,2.880,4,Travelers Championship
13,Mackenzie Hughes,0.714,2.856,4,Travelers Championship
14,Keegan Bradley,0.686,2.744,4,Travelers Championship
15,Si Woo Kim,0.665,2.658,4,Travelers Championship
16,Scottie Scheffler,0.631,2.525,4,Travelers Championship
17,Sungjae Im,0.588,2.353,4,Travelers Championship
18,Brendon Todd,0.587,2.347,4,Travelers Championship
19,Tony Finau,0.586,2.344,4,Travelers Championship
20,Tom Kim,0.520,2.080,4,Travelers Championship
21,Viktor Hovland,0.449,1.797,4,Travelers Championship
22,Michael Thorbjornsen,0.398,1.593,4,Travelers Championship
23,Justin Thomas,0.380,1.520,4,Travelers Championship
24,Kurt Kitayama,0.330,1.319,4,Travelers Championship
25,Adam Svensson,0.316,1.262,4,Travelers Championship
26,Tom Hoge,0.224,0.897,4,Travelers Championship
27,Jordan Spieth,0.171,0.683,4,Travelers Championship
28,Denny McCarthy,0.138,0.553,4,Travelers Championship
29,Adam Hadwin,0.130,0.519,4,Travelers Championship
30,Seamus Power,0.124,0.494,4,Travelers Championship
31,Matt Fitzpatrick,0.123,0.492,4,Travelers Championship
32,Collin Morikawa,0.090,0.360,4,Travelers Championship
33,Shane Lowry,0.087,0.347,4,Travelers Championship
34,Christiaan Bezuidenhout,0.076,0.304,4,Travelers Championship
35,Hideki Matsuyama,0.064,0.257,4,Travelers Championship
36,Webb Simpson,0.057,0.227,4,Travelers Championship
37,Jason Day,0.038,0.151,4,Travelers Championship
38,J.T. Poston,0.027,0.108,4,Travelers Championship
39,Cameron Young,-0.001,-0.006,4,Travelers Championship
40,Sepp Straka,-0.027,-0.107,4,Travelers Championship
41,Davis Riley,-0.115,-0.460,4,Travelers Championship
42,Tommy Fleetwood,-0.118,-0.471,4,Travelers Championship
43,Justin Rose,-0.133,-0.531,4,Travelers Championship
44,Sam Burns,-0.167,-0.669,4,Travelers Championship
45,Thomas Detry,-0.212,-0.847,4,Travelers Championship
46,Peter Malnati,-0.264,-1.057,4,Travelers Championship
47,Billy Horschel,-0.294,-1.178,4,Travelers Championship
48,Cam Davis,-0.302,-1.207,4,Travelers Championship
49,Adam Schenk,-0.320,-1.281,4,Travelers Championship
50,Brian Harman,-0.324,-1.296,4,Travelers Championship
51,Victor Perez,-0.367,-1.468,4,Travelers Championship
52,Emiliano Grillo,-0.436,-1.744,4,Travelers Championship
53,Lee Hodges,-0.448,-1.793,4,Travelers Championship
54,Max Homa,-0.488,-1.953,4,Travelers Championship
55,Taylor Moore,-0.538,-2.153,4,Travelers Championship
56,Corey Conners,-0.548,-2.191,4,Travelers Championship
57,Chris Gotterup,-0.625,-2.499,4,Travelers Championship
58,Jake Knapp,-0.684,-2.738,4,Travelers Championship
59,Will Zalatoris,-0.804,-3.218,4,Travelers Championship
60,Sahith Theegala,-0.820,-3.280,4,Travelers Championship
61,Stephan Jaeger,-0.864,-3.456,4,Travelers Championship
62,Harris English,-0.896,-3.585,4,Travelers Championship
63,Lucas Glover,-0.993,-3.974,4,Travelers Championship
64,Chris Kirk,-1.088,-4.351,4,Travelers Championship
65,Nick Taylor,-1.232,-4.927,4,Travelers Championship
66,Austin Eckroat,-1.246,-4.985,4,Travelers Championship
67,Ben Griffin,-1.666,-6.666,4,Travelers Championship
68,Russell Henley,-1.679,-6.715,4,Travelers Championship
69,Nick Dunlap,-1.780,-7.120,4,Travelers Championship
70,Ludvig Åberg,-1.789,-7.155,4,Travelers Championship
1,Russell Henley,2.427,9.710,4,U.S. Open
2,Harris English,2.012,8.049,4,U.S. Open
3,Sam Burns,1.909,7.637,4,U.S. Open
4,Thomas Detry,1.819,7.275,4,U.S. Open
5,Matthieu Pavon,1.744,6.976,4,U.S. Open
6,Chris Kirk,1.664,6.656,4,U.S. Open
7,Max Greyserman,1.325,5.301,4,U.S. Open
8,Shane Lowry,1.320,5.280,4,U.S. Open
9,Brian Harman,1.269,5.078,4,U.S. Open
10,Patrick Cantlay,1.242,4.970,4,U.S. Open
11,Ryan Fox,1.183,4.733,4,U.S. Open
12,Bryson DeChambeau,1.174,4.697,4,U.S. Open
13,Ludvig Åberg,1.135,4.539,4,U.S. Open
14,Taylor Pendrith,1.073,4.293,4,U.S. Open
15,Collin Morikawa,1.028,4.111,4,U.S. Open
16,Frankie Capan III,1.000,3.999,4,U.S. Open
17,Matt Kuchar,0.880,3.520,4,U.S. Open
18,Francesco Molinari,0.874,3.496,4,U.S. Open
19,Tommy Fleetwood,0.864,3.458,4,U.S. Open
20,Corey Conners,0.861,3.445,4,U.S. Open
21,Justin Lower,0.781,3.126,4,U.S. Open
22,Tim Widing,0.769,3.077,4,U.S. Open
23,Billy Horschel,0.756,3.024,4,U.S. Open
24,Hideki Matsuyama,0.753,3.011,4,U.S. Open
25,Aaron Rai,0.707,2.828,4,U.S. Open
26,Zac Blair,0.685,2.739,4,U.S. Open
27,Rory McIlroy,0.635,2.540,4,U.S. Open
28,Christiaan Bezuidenhout,0.582,2.327,4,U.S. Open
29,Neal Shipley,0.567,2.269,4,U.S. Open
30,Davis Thompson,0.565,2.262,4,U.S. Open
31,Min Woo Lee,0.564,2.256,4,U.S. Open
32,Akshay Bhatia,0.524,2.097,4,U.S. Open
33,Denny McCarthy,0.521,2.086,4,U.S. Open
34,Tom McKibbin,0.508,2.031,4,U.S. Open
35,Keegan Bradley,0.461,1.845,4,U.S. Open
35,Mark Hubbard,0.461,1.844,4,U.S. Open
37,Luke Clanton,0.431,1.723,4,U.S. Open
38,Ben Kohles,0.429,1.717,4,U.S. Open
39,Tony Finau,0.428,1.713,4,U.S. Open
40,Brian Campbell,0.413,1.651,4,U.S. Open
41,Gunnar Broin,0.349,1.396,4,U.S. Open
42,Cameron Smith,0.323,1.292,4,U.S. Open
43,Si Woo Kim,0.313,1.251,4,U.S. Open
44,Emiliano Grillo,0.295,1.182,4,U.S. Open
45,Xander Schauffele,0.178,0.712,4,U.S. Open
46,Greyson Sigg,0.132,0.530,4,U.S. Open
47,Tom Kim,0.102,0.410,4,U.S. Open
48,Nico Echavarria,0.072,0.290,4,U.S. Open
49,S.H. Kim,0.049,0.195,4,U.S. Open
50,Sahith Theegala,0.003,0.013,4,U.S. Open
51,Isaiah Salinda,-0.058,-0.230,4,U.S. Open
52,J.T. Poston,-0.087,-0.348,4,U.S. Open
53,Nicolai Højgaard,-0.098,-0.391,4,U.S. Open
54,Dean Burmester,-0.256,-1.022,4,U.S. Open
55,Sepp Straka,-0.270,-1.079,4,U.S. Open
56,Wyndham Clark,-0.309,-1.234,4,U.S. Open
57,Sergio Garcia,-0.343,-1.370,4,U.S. Open
58,Matt Fitzpatrick,-0.485,-1.938,4,U.S. Open
59,Stephan Jaeger,-0.502,-2.007,4,U.S. Open
60,Adam Scott,-0.528,-2.113,4,U.S. Open
61,David Puig,-0.556,-2.224,4,U.S. Open
62,Jackson Suber,-0.622,-2.487,4,U.S. Open
63,Martin Kaymer,-0.718,-2.872,4,U.S. Open
64,Brandon Wu,-0.842,-3.369,4,U.S. Open
65,Brendon Todd,-0.852,-3.407,4,U.S. Open
66,Brooks Koepka,-0.931,-3.725,4,U.S. Open
67,Tyrrell Hatton,-0.959,-3.836,4,U.S. Open
68,Daniel Berger,-1.135,-4.539,4,U.S. Open
69,Sam Bennett,-1.187,-4.747,4,U.S. Open
70,Scottie Scheffler,-1.508,-6.032,4,U.S. Open
71,Cameron Young,-1.532,-6.128,4,U.S. Open
72,Adam Svensson,-1.553,-6.211,4,U.S. Open
73,Jordan Spieth,-1.657,-6.628,4,U.S. Open
74,Austin Eckroat,-1.679,-6.716,4,U.S. Open
1,Xander Schauffele,2.003,8.014,4,the Memorial Tournament presented by Workday
2,Denny McCarthy,1.669,6.675,4,the Memorial Tournament presented by Workday
3,Nick Dunlap,1.492,5.969,4,the Memorial Tournament presented by Workday
4,Jason Day,1.453,5.812,4,the Memorial Tournament presented by Workday
5,Matt Fitzpatrick,1.330,5.319,4,the Memorial Tournament presented by Workday
6,J.T. Poston,1.324,5.297,4,the Memorial Tournament presented by Workday
7,Sungjae Im,1.174,4.697,4,the Memorial Tournament presented by Workday
8,Billy Horschel,1.173,4.694,4,the Memorial Tournament presented by Workday
9,Keegan Bradley,1.044,4.178,4,the Memorial Tournament presented by Workday
10,Alex Noren,1.000,4.001,4,the Memorial Tournament presented by Workday
11,Collin Morikawa,0.915,3.661,4,the Memorial Tournament presented by Workday
12,Seamus Power,0.881,3.525,4,the Memorial Tournament presented by Workday
13,Taylor Pendrith,0.782,3.127,4,the Memorial Tournament presented by Workday
14,Andrew Putnam,0.711,2.845,4,the Memorial Tournament presented by Workday
15,Ludvig Åberg,0.707,2.827,4,the Memorial Tournament presented by Workday
16,Thomas Detry,0.664,2.656,4,the Memorial Tournament presented by Workday
17,Christiaan Bezuidenhout,0.624,2.496,4,the Memorial Tournament presented by Workday
18,Tommy Fleetwood,0.601,2.405,4,the Memorial Tournament presented by Workday
19,Sepp Straka,0.558,2.232,4,the Memorial Tournament presented by Workday
20,Russell Henley,0.550,2.201,4,the Memorial Tournament presented by Workday
21,Tony Finau,0.427,1.710,4,the Memorial Tournament presented by Workday
22,Scottie Scheffler,0.382,1.527,4,the Memorial Tournament presented by Workday
23,Peter Malnati,0.378,1.512,4,the Memorial Tournament presented by Workday
24,Rory McIlroy,0.300,1.199,4,the Memorial Tournament presented by Workday
25,Hideki Matsuyama,0.290,1.161,4,the Memorial Tournament presented by Workday
26,Sam Burns,0.274,1.097,4,the Memorial Tournament presented by Workday
27,Lee Hodges,0.199,0.795,4,the Memorial Tournament presented by Workday
28,Eric Cole,0.144,0.578,4,the Memorial Tournament presented by Workday
29,Victor Perez,0.112,0.447,4,the Memorial Tournament presented by Workday
30,Matt Kuchar,0.069,0.276,4,the Memorial Tournament presented by Workday
31,Davis Thompson,-0.096,-0.385,4,the Memorial Tournament presented by Workday
32,Will Zalatoris,-0.111,-0.445,4,the Memorial Tournament presented by Workday
33,Adam Hadwin,-0.116,-0.463,4,the Memorial Tournament presented by Workday
34,Max Homa,-0.120,-0.478,4,the Memorial Tournament presented by Workday
35,Akshay Bhatia,-0.190,-0.758,4,the Memorial Tournament presented by Workday
36,Emiliano Grillo,-0.206,-0.824,4,the Memorial Tournament presented by Workday
37,Byeong Hun An,-0.216,-0.864,4,the Memorial Tournament presented by Workday
38,Viktor Hovland,-0.220,-0.880,4,the Memorial Tournament presented by Workday
39,Adam Svensson,-0.316,-1.263,4,the Memorial Tournament presented by Workday
40,Tom Hoge,-0.331,-1.323,4,the Memorial Tournament presented by Workday
41,Si Woo Kim,-0.398,-1.592,4,the Memorial Tournament presented by Workday
42,Nick Taylor,-0.428,-1.713,4,the Memorial Tournament presented by Workday
43,Brian Harman,-0.580,-2.318,4,the Memorial Tournament presented by Workday
44,Sahith Theegala,-0.654,-2.617,4,the Memorial Tournament presented by Workday
45,Shane Lowry,-0.674,-2.694,4,the Memorial Tournament presented by Workday
46,Justin Thomas,-0.880,-3.519,4,the Memorial Tournament presented by Workday
47,Cameron Young,-0.953,-3.811,4,the Memorial Tournament presented by Workday
48,Corey Conners,-0.963,-3.853,4,the Memorial Tournament presented by Workday
49,Austin Eckroat,-1.141,-4.563,4,the Memorial Tournament presented by Workday
50,Jackson Koivun,-1.178,-4.710,4,the Memorial Tournament presented by Workday
51,Tom Kim,-1.265,-5.061,4,the Memorial Tournament presented by Workday
52,Cam Davis,-1.705,-6.820,4,the Memorial Tournament presented by Workday
1,Robert MacIntyre,2.798,11.193,4,RBC Canadian Open
2,Victor Perez,2.327,9.309,4,RBC Canadian Open
3,Mackenzie Hughes,1.942,7.767,4,RBC Canadian Open
4,Sean O'Hair,1.927,7.707,4,RBC Canadian Open
5,Pierceson Coody,1.776,7.103,4,RBC Canadian Open
6,David Hearn,1.746,6.985,4,RBC Canadian Open
7,Corey Conners,1.730,6.922,4,RBC Canadian Open
8,Ryan Fox,1.547,6.189,4,RBC Canadian Open
9,Nicolai Højgaard,1.518,6.072,4,RBC Canadian Open
10,Zac Blair,1.483,5.934,4,RBC Canadian Open
11,Taylor Pendrith,1.471,5.884,4,RBC Canadian Open
12,Rory McIlroy,1.457,5.827,4,RBC Canadian Open
13,Beau Hossler,1.415,5.662,4,RBC Canadian Open
14,Ben Griffin,1.296,5.186,4,RBC Canadian Open
15,Chandler Phillips,1.264,5.058,4,RBC Canadian Open
16,Chad Ramey,1.235,4.940,4,RBC Canadian Open
17,Ben Silverman,1.116,4.465,4,RBC Canadian Open
18,Thorbjørn Olesen,1.095,4.382,4,RBC Canadian Open
19,Joel Dahmen,1.090,4.361,4,RBC Canadian Open
20,Nate Lashley,1.037,4.148,4,RBC Canadian Open
21,Jhonattan Vegas,1.032,4.130,4,RBC Canadian Open
22,Vince Whaley,1.026,4.105,4,RBC Canadian Open
23,Maverick McNealy,1.014,4.056,4,RBC Canadian Open
24,Jacob Bridgeman,0.972,3.889,4,RBC Canadian Open
25,Harry Hall,0.849,3.395,4,RBC Canadian Open
26,Tom Kim,0.742,2.967,4,RBC Canadian Open
27,Myles Creighton,0.677,2.710,4,RBC Canadian Open
28,Kelly Kraft,0.643,2.571,4,RBC Canadian Open
29,Sami Valimaki,0.616,2.464,4,RBC Canadian Open
30,Tyler Duncan,0.594,2.376,4,RBC Canadian Open
31,Gary Woodland,0.585,2.340,4,RBC Canadian Open
32,Trace Crowe,0.537,2.149,4,RBC Canadian Open
33,Carson Young,0.534,2.137,4,RBC Canadian Open
34,Stewart Cink,0.483,1.934,4,RBC Canadian Open
35,Tommy Fleetwood,0.436,1.744,4,RBC Canadian Open
36,Nick Hardy,0.311,1.245,4,RBC Canadian Open
36,Garrick Higgo,0.311,1.244,4,RBC Canadian Open
38,Andrew Novak,0.303,1.214,4,RBC Canadian Open
39,Keith Mitchell,0.293,1.174,4,RBC Canadian Open
40,Ryan Palmer,0.290,1.160,4,RBC Canadian Open
41,Akshay Bhatia,0.263,1.053,4,RBC Canadian Open
42,Wil Bateman,0.257,1.030,4,RBC Canadian Open
43,Sam Burns,0.099,0.397,4,RBC Canadian Open
44,Shane Lowry,0.067,0.270,4,RBC Canadian Open
45,Mark Hubbard,0.029,0.117,4,RBC Canadian Open
46,Chesson Hadley,0.016,0.065,4,RBC Canadian Open
47,Michael Kim,-0.006,-0.023,4,RBC Canadian Open
48,Adrien Dumont de Chassart,-0.021,-0.085,4,RBC Canadian Open
49,Brandon Wu,-0.088,-0.350,4,RBC Canadian Open
50,Lanto Griffin,-0.154,-0.614,4,RBC Canadian Open
51,Sam Stevens,-0.161,-0.643,4,RBC Canadian Open
52,Erik Barnes,-0.182,-0.726,4,RBC Canadian Open
53,Joseph Bramlett,-0.267,-1.067,4,RBC Canadian Open
54,Adam Scott,-0.300,-1.199,4,RBC Canadian Open
55,Matt Wallace,-0.315,-1.258,4,RBC Canadian Open
56,Kevin Streelman,-0.323,-1.290,4,RBC Canadian Open
57,Erik van Rooyen,-0.337,-1.346,4,RBC Canadian Open
58,Vincent Norrman,-0.346,-1.382,4,RBC Canadian Open
59,C.T. Pan,-0.392,-1.566,4,RBC Canadian Open
60,Kevin Tway,-0.428,-1.713,4,RBC Canadian Open
61,David Skinns,-0.526,-2.105,4,RBC Canadian Open
62,Adam Svensson,-0.767,-3.068,4,RBC Canadian Open
63,Aaron Rai,-0.770,-3.081,4,RBC Canadian Open
64,Ryan Moore,-0.860,-3.439,4,RBC Canadian Open
65,Mac Meissner,-0.868,-3.471,4,RBC Canadian Open
66,Ryo Hisatsune,-0.946,-3.782,4,RBC Canadian Open
67,Chez Reavie,-1.148,-4.592,4,RBC Canadian Open
68,Jorge Campillo,-1.230,-4.918,4,RBC Canadian Open
69,Kevin Yu,-1.707,-6.826,4,RBC Canadian Open
1,Matt Kuchar,1.728,6.913,4,Charles Schwab Challenge
2,Lucas Glover,1.712,6.848,4,Charles Schwab Challenge
3,Hayden Buckley,1.538,6.153,4,Charles Schwab Challenge
4,Davis Riley,1.479,5.914,4,Charles Schwab Challenge
5,Denny McCarthy,1.361,5.443,4,Charles Schwab Challenge
6,Peter Malnati,1.272,5.087,4,Charles Schwab Challenge
7,S.H. Kim,1.199,4.795,4,Charles Schwab Challenge
8,Ben Silverman,1.172,4.687,4,Charles Schwab Challenge
9,Keegan Bradley,1.153,4.612,4,Charles Schwab Challenge
10,Christiaan Bezuidenhout,1.128,4.511,4,Charles Schwab Challenge
11,Matt NeSmith,1.122,4.488,4,Charles Schwab Challenge
12,Gary Woodland,1.098,4.393,4,Charles Schwab Challenge
13,K.H. Lee,1.070,4.279,4,Charles Schwab Challenge
14,Adam Scott,1.006,4.025,4,Charles Schwab Challenge
15,J.T. Poston,0.938,3.753,4,Charles Schwab Challenge
16,Scottie Scheffler,0.871,3.483,4,Charles Schwab Challenge
17,Chandler Phillips,0.863,3.451,4,Charles Schwab Challenge
18,Billy Horschel,0.835,3.338,4,Charles Schwab Challenge
19,Zach Johnson,0.654,2.616,4,Charles Schwab Challenge
20,Lee Hodges,0.640,2.560,4,Charles Schwab Challenge
