rank,player,avg,total_sg_putting,measured_rounds,tournament
3,Jacob Bridgeman,1.989,7.955,4,Sanderson Farms Championship
4,Sami Valimaki,1.727,6.908,4,Sanderson Farms Championship
5,Vince Whaley,1.703,6.811,4,Sanderson Farms Championship
6,Paul Barjon,1.586,6.343,4,Sanderson Farms Championship
7,Michael Thorbjornsen,1.479,5.914,4,Sanderson Farms Championship
8,Emiliano Grillo,1.441,5.763,4,Sanderson Farms Championship
9,Sam Stevens,1.414,5.654,4,Sanderson Farms Championship
10,Mackenzie Hughes,1.400,5.598,4,Sanderson Farms Championship
11,Keith Mitchell,1.399,5.594,4,Sanderson Farms Championship
12,Brandt Snedeker,1.333,5.333,4,Sanderson Farms Championship
13,Stephan Jaeger,1.267,5.069,4,Sanderson Farms Championship
14,Beau Hossler,1.261,5.043,4,Sanderson Farms Championship
15,Lucas Glover,1.166,4.664,4,Sanderson Farms Championship
16,Taylor Moore,1.087,4.349,4,Sanderson Farms Championship
17,Roger Sloan,1.071,4.285,4,Sanderson Farms Championship
18,Ryan Fox,1.003,4.013,4,Sanderson Farms Championship
19,Rickie Fowler,0.939,3.757,4,Sanderson Farms Championship
20,Jhonattan Vegas,0.793,3.171,4,Sanderson Farms Championship
21,Alex Smalley,0.763,3.052,4,Sanderson Farms Championship
22,Henrik Norlander,0.761,3.043,4,Sanderson Farms Championship
23,Ryan Hall,0.744,2.977,4,Sanderson Farms Championship
24,Bud Cauley,0.686,2.743,4,Sanderson Farms Championship
25,Luke List,0.649,2.597,4,Sanderson Farms Championship
26,Patton Kizzire,0.583,2.333,4,Sanderson Farms Championship
27,Ben Griffin,0.570,2.279,4,Sanderson Farms Championship
28,Matti Schmid,0.543,2.170,4,Sanderson Farms Championship
29,Chandler Phillips,0.527,2.108,4,Sanderson Farms Championship
30,Daniel Berger,0.507,2.028,4,Sanderson Farms Championship
31,Nicholas Lindheim,0.396,1.585,4,Sanderson Farms Championship
32,David Skinns,0.379,1.517,4,Sanderson Farms Championship
33,Callum Tarren,0.366,1.464,4,Sanderson Farms Championship
34,Justin Lower,0.311,1.243,4,Sanderson Farms Championship
35,Seamus Power,0.274,1.097,4,Sanderson Farms Championship
36,Matt NeSmith,0.254,1.017,4,Sanderson Farms Championship
37,Mac Meissner,0.177,0.709,4,Sanderson Farms Championship
38,K.H. Lee,0.149,0.596,4,Sanderson Farms Championship
39,Mark Hubbard,0.132,0.527,4,Sanderson Farms Championship
40,Wesley Bryan,0.063,0.252,4,Sanderson Farms Championship
41,Nick Hardy,0.051,0.205,4,Sanderson Farms Championship
42,Andrew Novak,0.038,0.152,4,Sanderson Farms Championship
43,Ben Kohles,0.023,0.091,4,Sanderson Farms Championship
44,Carson Young,-0.007,-0.029,4,Sanderson Farms Championship
45,Trace Crowe,-0.013,-0.053,4,Sanderson Farms Championship
46,Bill Haas,-0.026,-0.104,4,Sanderson Farms Championship
47,Charley Hoffman,-0.060,-0.241,4,Sanderson Farms Championship
48,Chan Kim,-0.127,-0.507,4,Sanderson Farms Championship
49,Patrick Fishburn,-0.147,-0.589,4,Sanderson Farms Championship
50,Chesson Hadley,-0.189,-0.756,4,Sanderson Farms Championship
51,Nate Lashley,-0.231,-0.923,4,Sanderson Farms Championship
52,Trey Mullinax,-0.244,-0.975,4,Sanderson Farms Championship
53,Matt McCarty,-0.366,-1.465,4,Sanderson Farms Championship
54,Nick Dunlap,-0.403,-1.612,4,Sanderson Farms Championship
55,Doug Ghim,-0.420,-1.681,4,Sanderson Farms Championship
56,Kevin Streelman,-0.556,-2.225,4,Sanderson Farms Championship
57,Lee Hodges,-0.652,-2.609,4,Sanderson Farms Championship
58,Adrien Dumont de Chassart,-0.705,-2.821,4,Sanderson Farms Championship
59,Joe Highsmith,-0.794,-3.177,4,Sanderson Farms Championship
60,Will Gordon,-0.822,-3.287,4,Sanderson Farms Championship
61,Brandon Wu,-0.877,-3.507,4,Sanderson Farms Championship
62,Brice Garnett,-0.888,-3.553,4,Sanderson Farms Championship
63,Eric Cole,-1.046,-4.186,4,Sanderson Farms Championship
64,Gary Woodland,-1.154,-4.617,4,Sanderson Farms Championship
65,Martin Laird,-1.242,-4.969,4,Sanderson Farms Championship
66,Joseph Bramlett,-1.367,-5.468,4,Sanderson Farms Championship
67,Austin Smotherman,-1.695,-6.779,4,Sanderson Farms Championship
68,Rico Hoey,-1.759,-7.036,4,Sanderson Farms Championship
1,Patton Kizzire,2.239,8.957,4,Procore Championship
2,Ben Silverman,2.168,8.673,4,Procore Championship
3,Kevin Tway,1.958,7.831,4,Procore Championship
4,Chandler Phillips,1.790,7.159,4,Procore Championship
5,David Lipsky,1.717,6.869,4,Procore Championship
6,Rafael Campos,1.664,6.657,4,Procore Championship
7,Zac Blair,1.612,6.448,4,Procore Championship
8,Justin Lower,1.491,5.965,4,Procore Championship
9,Wesley Bryan,1.388,5.553,4,Procore Championship
10,Brandt Snedeker,1.298,5.194,4,Procore Championship
11,Austin Smotherman,1.265,5.061,4,Procore Championship
12,Tom Hoge,1.250,5.002,4,Procore Championship
13,Adam Svensson,1.245,4.979,4,Procore Championship
14,Garrick Higgo,1.115,4.459,4,Procore Championship
15,Chesson Hadley,1.113,4.452,4,Procore Championship
16,Brandon Wu,1.096,4.383,4,Procore Championship
17,Bud Cauley,1.041,4.163,4,Procore Championship
18,Sangmoon Bae,0.977,3.908,4,Procore Championship
19,Wilson Furr,0.926,3.705,4,Procore Championship
20,Patrick Fishburn,0.916,3.664,4,Procore Championship
21,Lucas Glover,0.912,3.650,4,Procore Championship
22,David Skinns,0.853,3.414,4,Procore Championship
23,J.B. Holmes,0.840,3.362,4,Procore Championship
24,Aaron Baddeley,0.744,2.976,4,Procore Championship
25,Michael Thorbjornsen,0.652,2.609,4,Procore Championship
26,Charley Hoffman,0.627,2.507,4,Procore Championship
27,Martin Laird,0.548,2.192,4,Procore Championship
28,Mackenzie Hughes,0.386,1.544,4,Procore Championship
29,Jhonattan Vegas,0.376,1.503,4,Procore Championship
30,Brendon Todd,0.345,1.381,4,Procore Championship
31,Sahith Theegala,0.344,1.376,4,Procore Championship
32,Chez Reavie,0.325,1.299,4,Procore Championship
33,Chad Ramey,0.278,1.113,4,Procore Championship
34,Matt Kuchar,0.277,1.110,4,Procore Championship
35,Johnny Keefer,0.219,0.875,4,Procore Championship
36,Corey Conners,0.202,0.808,4,Procore Championship
37,Greyson Sigg,0.185,0.741,4,Procore Championship
38,Neal Shipley,0.183,0.734,4,Procore Championship
38,J.J. Spaun,0.183,0.731,4,Procore Championship
40,Keith Mitchell,0.170,0.679,4,Procore Championship
41,Tom Whitney,0.062,0.247,4,Procore Championship
42,Tom Johnson,0.016,0.063,4,Procore Championship
43,Sam Stevens,-0.047,-0.187,4,Procore Championship
44,Webb Simpson,-0.059,-0.235,4,Procore Championship
45,Min Woo Lee,-0.073,-0.292,4,Procore Championship
46,Nick Hardy,-0.130,-0.519,4,Procore Championship
47,Matti Schmid,-0.146,-0.585,4,Procore Championship
48,Kevin Chappell,-0.152,-0.608,4,Procore Championship
49,Patrick Rodgers,-0.186,-0.742,4,Procore Championship
50,Roger Sloan,-0.230,-0.918,4,Procore Championship
51,Joe Highsmith,-0.266,-1.063,4,Procore Championship
52,Rico Hoey,-0.280,-1.121,4,Procore Championship
53,Justin Suh,-0.338,-1.350,4,Procore Championship
54,Chan Kim,-0.408,-1.630,4,Procore Championship
55,Luke Clanton,-0.419,-1.674,4,Procore Championship
56,Doug Ghim,-0.458,-1.830,4,Procore Championship
57,Andrew Putnam,-0.696,-2.784,4,Procore Championship
58,Pierceson Coody,-0.807,-3.227,4,Procore Championship
59,Kevin Dougherty,-0.855,-3.418,4,Procore Championship
60,Josh Teater,-0.906,-3.624,4,Procore Championship
61,Lanto Griffin,-0.991,-3.965,4,Procore Championship
62,"Blaine Hale, Jr.",-1.056,-4.224,4,Procore Championship
63,Joel Dahmen,-1.199,-4.796,4,Procore Championship
64,Ben Kohles,-1.455,-5.821,4,Procore Championship
65,Henrik Norlander,-1.475,-5.901,4,Procore Championship
1,Adam Scott,1.443,5.772,4,TOUR Championship
2,Viktor Hovland,1.105,4.420,4,TOUR Championship
3,Scottie Scheffler,1.006,4.023,4,TOUR Championship
4,Taylor Pendrith,0.999,3.997,4,TOUR Championship
5,Rory McIlroy,0.878,3.512,4,TOUR Championship
6,Shane Lowry,0.720,2.879,4,TOUR Championship
7,Collin Morikawa,0.662,2.649,4,TOUR Championship
8,Sahith Theegala,0.612,2.447,4,TOUR Championship
9,Tommy Fleetwood,0.316,1.263,4,TOUR Championship
10,Christiaan Bezuidenhout,0.271,1.083,4,TOUR Championship
11,Russell Henley,0.267,1.068,4,TOUR Championship
12,Matthieu Pavon,0.238,0.954,4,TOUR Championship
13,Wyndham Clark,0.224,0.895,4,TOUR Championship
14,Robert MacIntyre,0.203,0.812,4,TOUR Championship
15,Sepp Straka,-0.136,-0.542,4,TOUR Championship
16,Akshay Bhatia,-0.152,-0.606,4,TOUR Championship
17,Sungjae Im,-0.195,-0.778,4,TOUR Championship
18,Sam Burns,-0.221,-0.883,4,TOUR Championship
19,Xander Schauffele,-0.310,-1.240,4,TOUR Championship
20,Billy Horschel,-0.365,-1.460,4,TOUR Championship
21,Justin Thomas,-0.378,-1.510,4,TOUR Championship
22,Keegan Bradley,-0.478,-1.913,4,TOUR Championship
23,Hideki Matsuyama,-0.568,-2.272,4,TOUR Championship
