rank,player,avg,total_sg_ott,measured_rounds,tournament
26,Lucas Glover,0.208,0.830,4,The Sentry
27,Chris Kirk,0.206,0.822,4,The Sentry
28,Nick Hardy,0.182,0.726,4,The Sentry
29,Cameron Young,0.071,0.283,4,The Sentry
30,Sam Burns,0.058,0.233,4,The Sentry
31,Sepp Straka,0.055,0.218,4,The Sentry
32,Si Woo Kim,0.020,0.081,4,The Sentry
33,Adam Svensson,0.006,0.022,4,The Sentry
34,Tom Kim,-0.017,-0.067,4,The Sentry
35,Jordan Spieth,-0.029,-0.117,4,The Sentry
36,Andrew Putnam,-0.031,-0.125,4,The Sentry
37,Matt Wallace,-0.068,-0.272,4,The Sentry
38,Cam Davis,-0.072,-0.288,4,The Sentry
39,Brian Harman,-0.111,-0.443,4,The Sentry
40,Ludvig Åberg,-0.245,-0.980,4,The Sentry
41,Tom Hoge,-0.279,-1.118,4,The Sentry
42,Keegan Bradley,-0.286,-1.146,4,The Sentry
43,Hideki Matsuyama,-0.308,-1.232,4,The Sentry
44,Tyrrell Hatton,-0.329,-1.316,4,The Sentry
45,Nico Echavarria,-0.335,-1.342,4,The Sentry
46,Russell Henley,-0.462,-1.847,4,The Sentry
46,Luke List,-0.462,-1.847,4,The Sentry
48,Tommy Fleetwood,-0.533,-2.134,4,The Sentry
49,Denny McCarthy,-0.554,-2.215,4,The Sentry
50,Mackenzie Hughes,-0.577,-2.307,4,The Sentry
51,Vincent Norrman,-0.602,-2.410,4,The Sentry
52,Nick Taylor,-0.608,-2.431,4,The Sentry
53,Justin Rose,-0.675,-2.700,4,The Sentry
54,Eric Cole,-0.713,-2.853,4,The Sentry
55,Seamus Power,-0.737,-2.950,4,The Sentry
56,Rickie Fowler,-1.244,-4.978,4,The Sentry
57,Camilo Villegas,-1.338,-5.353,4,The Sentry
58,Brendon Todd,-1.499,-5.995,4,The Sentry
59,Davis Riley,-1.504,-6.015,4,The Sentry
