rank,player,total,total_sg_ott_avg,total_sg_apr_avg,total_sg_arg_avg,measured_rounds,tournament
1,Joel Dahmen,2.891,1.120,0.924,0.847,3,The RSM Classic
2,J.T. Poston,2.835,0.480,2.275,0.080,3,The RSM Classic
3,Henrik Norlander,2.579,0.568,1.762,0.249,3,The RSM Classic
4,Maverick McNealy,2.286,0.782,1.258,0.247,3,The RSM Classic
5,Bud Cauley,1.931,0.669,0.487,0.775,3,The RSM Classic
6,Adrien Dumont de Chassart,1.843,0.494,0.378,0.971,3,The RSM Classic
7,Garrick Higgo,1.767,0.768,-0.071,1.070,3,The RSM Classic
8,Stewart Cink,1.730,0.902,-0.416,1.244,3,The RSM Classic
9,Joe Highsmith,1.672,0.980,0.206,0.487,3,The RSM Classic
10,Ben Griffin,1.671,1.035,0.276,0.360,3,The RSM Classic
11,Daniel Berger,1.670,0.859,0.633,0.178,3,The RSM Classic
12,Patrick Fishburn,1.596,0.355,0.824,0.417,3,The RSM Classic
13,Patrick Rodgers,1.384,0.820,0.802,-0.237,3,The RSM Classic
14,Kevin Chappell,1.359,-0.257,1.155,0.461,3,The RSM Classic
15,Sam Stevens,1.249,1.235,0.359,-0.344,3,The RSM Classic
16,Austin Eckroat,1.243,1.466,0.254,-0.477,3,The RSM Classic
17,Hayden Springer,1.221,-0.903,2.256,-0.132,3,The RSM Classic
18,S.Y. Noh,1.147,-0.523,1.201,0.470,3,The RSM Classic
19,Lucas Glover,1.129,0.653,0.399,0.076,3,The RSM Classic
20,Kevin Yu,1.087,1.290,-0.717,0.514,3,The RSM Classic
21,Lee Hodges,0.991,0.635,-0.084,0.440,3,The RSM Classic
22,Mackenzie Hughes,0.978,-0.607,0.427,1.158,3,The RSM Classic
23,Davis Thompson,0.976,1.173,-0.237,0.040,3,The RSM Classic
24,Vince Whaley,0.953,-0.003,0.815,0.141,3,The RSM Classic
25,Michael Thorbjornsen,0.891,-0.381,0.701,0.571,3,The RSM Classic
26,Will Gordon,0.883,-0.116,0.547,0.453,3,The RSM Classic
27,Taylor Moore,0.821,0.614,0.614,-0.406,3,The RSM Classic
28,Eric Cole,0.636,-0.940,1.328,0.248,3,The RSM Classic
29,Brian Harman,0.595,0.367,0.182,0.046,3,The RSM Classic
30,Joseph Bramlett,0.584,-0.197,0.268,0.513,3,The RSM Classic
31,Martin Laird,0.573,0.450,0.065,0.058,3,The RSM Classic
32,Luke Clanton,0.563,1.319,-0.524,-0.232,3,The RSM Classic
33,Michael Kim,0.519,0.211,0.509,-0.202,3,The RSM Classic
34,Chandler Phillips,0.496,0.646,0.491,-0.640,3,The RSM Classic
35,Patton Kizzire,0.431,0.225,-0.209,0.415,3,The RSM Classic
36,Kelly Kraft,0.374,-0.178,0.784,-0.232,3,The RSM Classic
37,Adam Schenk,0.335,-0.458,0.593,0.199,3,The RSM Classic
38,Nico Echavarria,0.324,0.318,0.351,-0.344,3,The RSM Classic
39,Mark Hubbard,0.171,0.234,-1.039,0.976,3,The RSM Classic
40,Denny McCarthy,0.164,-0.138,-0.212,0.515,3,The RSM Classic
41,Taylor Montgomery,0.087,-1.117,0.345,0.860,3,The RSM Classic
42,William McGirt,0.064,-0.340,-0.157,0.561,3,The RSM Classic
43,Marcus Byrd,0.045,0.670,-0.419,-0.206,3,The RSM Classic
44,Kevin Tway,-0.054,0.094,0.015,-0.163,3,The RSM Classic
45,Brandon Wu,-0.201,-0.436,0.128,0.107,3,The RSM Classic
46,Andrew Novak,-0.222,-0.966,-0.388,1.133,3,The RSM Classic
47,Ludvig Åberg,-0.279,-0.265,0.110,-0.124,3,The RSM Classic
48,Harris English,-0.354,0.202,-0.609,0.053,3,The RSM Classic
49,S.H. Kim,-0.380,0.759,-0.858,-0.280,3,The RSM Classic
50,Adam Hadwin,-0.384,-0.412,0.031,-0.003,3,The RSM Classic
51,Russell Knox,-0.395,0.046,-0.725,0.284,3,The RSM Classic
52,Matt Wallace,-0.431,-0.487,-0.506,0.562,3,The RSM Classic
53,Austin Smotherman,-0.435,0.230,-0.489,-0.175,3,The RSM Classic
54,Carson Young,-0.492,0.563,-0.856,-0.198,3,The RSM Classic
55,Doug Ghim,-0.539,0.932,-0.479,-0.991,3,The RSM Classic
56,Jonathan Byrd,-0.560,-0.938,0.757,-0.378,3,The RSM Classic
57,Ryo Hisatsune,-0.912,0.060,-0.675,-0.297,3,The RSM Classic
58,Blake McShea,-0.929,-0.461,0.225,-0.693,3,The RSM Classic
59,Robby Shelton,-0.957,-0.698,0.002,-0.261,3,The RSM Classic
60,Adam Svensson,-0.962,0.680,-0.631,-1.010,3,The RSM Classic
61,Paul Peterson,-1.006,-0.226,-1.274,0.494,3,The RSM Classic
62,Callum Tarren,-1.008,-2.152,1.379,-0.235,3,The RSM Classic
63,Lanto Griffin,-1.064,0.458,-0.597,-0.925,3,The RSM Classic
64,Steven Fisk,-1.215,-0.051,-0.698,-0.466,3,The RSM Classic
65,Christo Lamprecht,-1.244,0.669,-1.507,-0.406,3,The RSM Classic
66,Philip Knowles,-1.280,-1.118,0.163,-0.325,3,The RSM Classic
67,Martin Trainer,-1.605,-1.263,-0.110,-0.232,3,The RSM Classic
68,Tyson Alexander,-2.025,-1.262,-0.746,-0.016,3,The RSM Classic
69,Jake Knapp,-2.067,-1.021,-0.987,-0.060,3,The RSM Classic
1,Justin Thomas,3.579,0.738,2.006,0.835,4,ZOZO CHAMPIONSHIP
2,Nico Echavarria,2.568,0.343,2.000,0.226,4,ZOZO CHAMPIONSHIP
3,Kurt Kitayama,2.260,0.741,1.155,0.363,4,ZOZO CHAMPIONSHIP
4,Andrew Novak,1.952,0.781,0.608,0.563,4,ZOZO CHAMPIONSHIP
5,Yuta Sugiura,1.661,0.293,1.117,0.250,4,ZOZO CHAMPIONSHIP
6,C.T. Pan,1.506,0.383,1.139,-0.015,4,ZOZO CHAMPIONSHIP
7,Ben Griffin,1.449,0.298,0.854,0.297,4,ZOZO CHAMPIONSHIP
8,Kevin Yu,1.386,0.600,0.480,0.306,4,ZOZO CHAMPIONSHIP
9,Lee Hodges,1.309,0.969,0.684,-0.345,4,ZOZO CHAMPIONSHIP
10,Taylor Moore,1.260,1.032,-0.146,0.373,4,ZOZO CHAMPIONSHIP
11,Matt Kuchar,1.210,0.091,0.581,0.537,4,ZOZO CHAMPIONSHIP
12,Sungjae Im,1.160,0.667,-0.156,0.649,4,ZOZO CHAMPIONSHIP
12,Nick Taylor,1.160,0.355,0.659,0.146,4,ZOZO CHAMPIONSHIP
14,J.J. Spaun,1.130,0.494,0.841,-0.204,4,ZOZO CHAMPIONSHIP
15,Taisei Shimizu,1.073,0.002,0.738,0.333,4,ZOZO CHAMPIONSHIP
15,Jhonattan Vegas,1.073,0.595,0.925,-0.447,4,ZOZO CHAMPIONSHIP
17,Chan Kim,1.049,0.443,0.281,0.325,4,ZOZO CHAMPIONSHIP
18,Yuto Katsuragawa,1.023,0.183,0.883,-0.043,4,ZOZO CHAMPIONSHIP
19,Min Woo Lee,1.005,0.332,0.364,0.308,4,ZOZO CHAMPIONSHIP
20,Rickie Fowler,0.977,0.021,0.965,-0.009,4,ZOZO CHAMPIONSHIP
21,Rico Hoey,0.867,0.581,0.226,0.060,4,ZOZO CHAMPIONSHIP
22,Max Greyserman,0.790,0.460,0.717,-0.387,4,ZOZO CHAMPIONSHIP
23,Si Woo Kim,0.771,-0.347,0.869,0.248,4,ZOZO CHAMPIONSHIP
24,Eric Cole,0.679,-0.435,0.848,0.266,4,ZOZO CHAMPIONSHIP
25,Adam Svensson,0.639,0.519,0.235,-0.115,4,ZOZO CHAMPIONSHIP
26,Joel Dahmen,0.609,-0.233,1.657,-0.815,4,ZOZO CHAMPIONSHIP
27,Ben Silverman,0.604,0.146,0.225,0.232,4,ZOZO CHAMPIONSHIP
28,Doug Ghim,0.603,0.755,-0.204,0.052,4,ZOZO CHAMPIONSHIP
29,Harry Hall,0.566,0.832,-0.277,0.010,4,ZOZO CHAMPIONSHIP
30,Nate Lashley,0.565,-0.673,0.034,1.204,4,ZOZO CHAMPIONSHIP
31,Sam Stevens,0.453,0.992,0.160,-0.700,4,ZOZO CHAMPIONSHIP
32,Mac Meissner,0.442,0.787,-0.614,0.269,4,ZOZO CHAMPIONSHIP
33,Victor Perez,0.389,-0.273,0.589,0.072,4,ZOZO CHAMPIONSHIP
34,Andrew Putnam,0.386,-0.586,0.422,0.550,4,ZOZO CHAMPIONSHIP
35,Hideki Matsuyama,0.290,-0.328,0.608,0.009,4,ZOZO CHAMPIONSHIP
36,Kensei Hirata,0.247,0.124,-0.102,0.225,4,ZOZO CHAMPIONSHIP
37,Zac Blair,0.223,-0.819,0.374,0.668,4,ZOZO CHAMPIONSHIP
38,Ren Yonezawa,0.194,-0.614,0.663,0.146,4,ZOZO CHAMPIONSHIP
39,Luke List,0.179,0.784,-1.171,0.566,4,ZOZO CHAMPIONSHIP
40,Ben Kohles,0.072,0.158,0.303,-0.388,4,ZOZO CHAMPIONSHIP
41,K.H. Lee,-0.011,-0.479,0.359,0.109,4,ZOZO CHAMPIONSHIP
42,Collin Morikawa,-0.013,0.132,0.430,-0.575,4,ZOZO CHAMPIONSHIP
43,Mark Hubbard,-0.023,0.128,0.687,-0.839,4,ZOZO CHAMPIONSHIP
44,Sahith Theegala,-0.025,-0.766,0.016,0.725,4,ZOZO CHAMPIONSHIP
45,Xander Schauffele,-0.033,0.378,0.317,-0.728,4,ZOZO CHAMPIONSHIP
46,Patrick Fishburn,-0.072,0.636,-0.651,-0.057,4,ZOZO CHAMPIONSHIP
47,Seamus Power,-0.102,0.386,-0.196,-0.292,4,ZOZO CHAMPIONSHIP
48,Max Homa,-0.119,0.154,-0.096,-0.177,4,ZOZO CHAMPIONSHIP
49,Ryosuke Kinoshita,-0.139,-0.532,0.407,-0.013,4,ZOZO CHAMPIONSHIP
50,Carson Young,-0.142,-0.896,1.073,-0.318,4,ZOZO CHAMPIONSHIP
51,Ryan Fox,-0.154,0.278,-0.336,-0.095,4,ZOZO CHAMPIONSHIP
52,Takumi Kanaya,-0.340,0.157,-0.269,-0.228,4,ZOZO CHAMPIONSHIP
53,Chandler Phillips,-0.418,0.341,-0.891,0.132,4,ZOZO CHAMPIONSHIP
54,Charley Hoffman,-0.451,0.561,-1.032,0.020,4,ZOZO CHAMPIONSHIP
55,Shugo Imahira,-0.510,-0.672,0.462,-0.299,4,ZOZO CHAMPIONSHIP
56,Will Zalatoris,-0.511,0.600,-0.594,-0.516,4,ZOZO CHAMPIONSHIP
57,Chris Gotterup,-0.515,0.051,-0.269,-0.297,4,ZOZO CHAMPIONSHIP
58,Gary Woodland,-0.535,-0.478,0.105,-0.161,4,ZOZO CHAMPIONSHIP
59,Tom Hoge,-0.559,0.042,0.653,-1.254,4,ZOZO CHAMPIONSHIP
60,Chad Ramey,-0.667,0.294,-1.237,0.276,4,ZOZO CHAMPIONSHIP
61,Takahiro Hataji,-0.806,0.169,-0.196,-0.779,4,ZOZO CHAMPIONSHIP
62,Naoyuki Kataoka,-0.910,-1.519,-1.163,1.772,4,ZOZO CHAMPIONSHIP
63,Satoshi Kodaira,-1.035,0.204,-1.168,-0.071,4,ZOZO CHAMPIONSHIP
64,S.H. Kim,-1.116,-0.411,-1.040,0.336,4,ZOZO CHAMPIONSHIP
65,Beau Hossler,-1.425,0.162,-2.134,0.546,4,ZOZO CHAMPIONSHIP
66,Justin Lower,-1.557,-1.414,-0.288,0.145,4,ZOZO CHAMPIONSHIP
67,Adam Schenk,-1.564,0.229,-1.690,-0.102,4,ZOZO CHAMPIONSHIP
68,Sami Valimaki,-1.590,-0.363,-0.041,-1.185,4,ZOZO CHAMPIONSHIP
69,Patrick Rodgers,-1.745,-0.366,-0.917,-0.461,4,ZOZO CHAMPIONSHIP
70,Ryo Hisatsune,-1.756,-0.204,-0.773,-0.779,4,ZOZO CHAMPIONSHIP
71,Takashi Ogiso,-1.896,-0.589,-1.290,-0.017,4,ZOZO CHAMPIONSHIP
72,Hiroshi Iwata,-1.931,-0.709,-1.506,0.285,4,ZOZO CHAMPIONSHIP
73,Davis Riley,-2.139,0.062,-1.793,-0.409,4,ZOZO CHAMPIONSHIP
74,Ryo Ishikawa,-2.322,-1.608,-0.516,-0.197,4,ZOZO CHAMPIONSHIP
75,David Skinns,-2.640,-1.504,-1.247,0.111,4,ZOZO CHAMPIONSHIP
76,Brendon Todd,-4.543,-1.223,-2.825,-0.495,4,ZOZO CHAMPIONSHIP
77,Kaito Onishi,-4.821,-2.305,-1.826,-0.689,4,ZOZO CHAMPIONSHIP
1,Kurt Kitayama,3.014,0.590,1.561,0.863,4,Shriners Children's Open
2,Doug Ghim,2.839,1.113,1.663,0.062,4,Shriners Children's Open
3,Davis Thompson,2.695,0.586,1.251,0.858,4,Shriners Children's Open
4,J.T. Poston,2.445,0.732,0.718,0.994,4,Shriners Children's Open
5,Scott Piercy,2.415,0.885,0.702,0.828,4,Shriners Children's Open
6,Alejandro Tosti,2.268,1.267,0.700,0.301,4,Shriners Children's Open
7,Joseph Bramlett,2.266,1.437,0.298,0.532,4,Shriners Children's Open
8,Michael Kim,2.226,0.967,1.080,0.179,4,Shriners Children's Open
9,Maverick McNealy,2.065,1.113,0.299,0.652,4,Shriners Children's Open
10,Matti Schmid,1.937,0.989,0.790,0.158,4,Shriners Children's Open
11,Rico Hoey,1.922,0.510,0.803,0.609,4,Shriners Children's Open
12,Taylor Pendrith,1.669,1.585,1.002,-0.917,4,Shriners Children's Open
13,K.H. Lee,1.601,0.157,1.159,0.284,4,Shriners Children's Open
14,Nate Lashley,1.582,-0.085,1.347,0.320,4,Shriners Children's Open
15,Chris Gotterup,1.526,1.115,0.352,0.058,4,Shriners Children's Open
16,Rickie Fowler,1.517,1.090,0.793,-0.366,4,Shriners Children's Open
17,Greyson Sigg,1.472,0.535,0.404,0.533,4,Shriners Children's Open
18,Gary Woodland,1.382,0.435,1.255,-0.308,4,Shriners Children's Open
19,Mark Hubbard,1.348,0.377,0.962,0.009,4,Shriners Children's Open
20,Matt Kuchar,1.317,0.047,0.080,1.191,4,Shriners Children's Open
21,Joe Highsmith,1.206,0.501,-0.007,0.712,4,Shriners Children's Open
22,Chad Ramey,1.155,0.079,0.662,0.414,4,Shriners Children's Open
23,Ryan Moore,1.151,0.358,0.527,0.265,4,Shriners Children's Open
24,Bud Cauley,1.105,0.292,1.197,-0.384,4,Shriners Children's Open
25,J.J. Spaun,1.082,0.137,0.550,0.395,4,Shriners Children's Open
26,Sam Stevens,1.076,1.139,-0.705,0.643,4,Shriners Children's Open
27,Patrick Fishburn,1.041,0.920,0.595,-0.474,4,Shriners Children's Open
28,Harris English,0.977,0.209,-0.689,1.457,4,Shriners Children's Open
29,Harry Hall,0.903,-0.329,0.987,0.245,4,Shriners Children's Open
30,Andrew Putnam,0.885,-0.810,0.678,1.016,4,Shriners Children's Open
31,C.T. Pan,0.882,0.030,0.055,0.796,4,Shriners Children's Open
32,Ryan McCormick,0.879,0.268,0.684,-0.073,4,Shriners Children's Open
33,Austin Eckroat,0.781,0.184,0.209,0.388,4,Shriners Children's Open
34,Ryan Fox,0.582,0.899,-0.633,0.316,4,Shriners Children's Open
35,Taylor Moore,0.520,0.815,-0.683,0.387,4,Shriners Children's Open
36,Ian Gilligan,0.513,-0.519,0.969,0.063,4,Shriners Children's Open
37,Nicolo Galletti,0.471,-0.560,0.601,0.429,4,Shriners Children's Open
37,Norman Xiong,0.471,-0.206,0.876,-0.200,4,Shriners Children's Open
39,Jacob Bridgeman,0.451,-0.513,0.048,0.916,4,Shriners Children's Open
40,Luke List,0.423,0.646,-0.103,-0.121,4,Shriners Children's Open
41,David Lipsky,0.413,-1.023,0.259,1.177,4,Shriners Children's Open
42,Camilo Villegas,0.289,-0.828,0.812,0.304,4,Shriners Children's Open
43,Justin Suh,0.188,-1.566,1.301,0.452,4,Shriners Children's Open
44,Nick Taylor,0.154,0.031,0.158,-0.035,4,Shriners Children's Open
45,Beau Hossler,0.020,-0.146,-0.234,0.400,4,Shriners Children's Open
46,Daniel Berger,-0.096,0.270,-0.305,-0.060,4,Shriners Children's Open
47,Jhonattan Vegas,-0.097,0.312,0.260,-0.668,4,Shriners Children's Open
48,Lanto Griffin,-0.157,-0.082,0.792,-0.867,4,Shriners Children's Open
49,S.H. Kim,-0.232,-0.798,0.116,0.451,4,Shriners Children's Open
50,Neal Shipley,-0.287,0.247,0.296,-0.830,4,Shriners Children's Open
51,Zac Blair,-0.306,-0.994,0.715,-0.027,4,Shriners Children's Open
52,Vince Whaley,-0.369,-0.634,-1.129,1.394,4,Shriners Children's Open
53,Ben Taylor,-0.449,-1.050,-0.017,0.618,4,Shriners Children's Open
54,Trace Crowe,-0.542,-0.546,-0.070,0.074,4,Shriners Children's Open
55,Francesco Molinari,-0.584,-0.443,0.668,-0.809,4,Shriners Children's Open
56,Davis Riley,-0.727,-0.334,0.572,-0.965,4,Shriners Children's Open
56,Alex Smalley,-0.727,0.288,-0.851,-0.164,4,Shriners Children's Open
58,Garrick Higgo,-0.825,-0.482,0.002,-0.345,4,Shriners Children's Open
59,Pierceson Coody,-0.894,0.223,-0.457,-0.659,4,Shriners Children's Open
60,Wilson Furr,-1.221,0.296,-0.788,-0.729,4,Shriners Children's Open
61,Ben Silverman,-1.366,0.080,-0.982,-0.464,4,Shriners Children's Open
62,Adam Schenk,-1.449,-0.074,-0.901,-0.474,4,Shriners Children's Open
63,Erik van Rooyen,-1.484,-0.623,-0.536,-0.325,4,Shriners Children's Open
64,Tyler Duncan,-1.535,0.376,-0.994,-0.917,4,Shriners Children's Open
65,Dan McCarthy,-1.796,-1.189,0.154,-0.761,4,Shriners Children's Open
66,David Skinns,-1.904,-0.941,0.107,-1.070,4,Shriners Children's Open
1,Lucas Glover,3.474,-0.102,3.375,0.201,4,Black Desert Championship
2,Kurt Kitayama,3.187,0.385,2.626,0.175,4,Black Desert Championship
3,Joseph Bramlett,2.562,1.019,0.786,0.757,4,Black Desert Championship
4,Beau Hossler,2.465,0.677,0.445,1.343,4,Black Desert Championship
5,Lee Hodges,2.329,0.689,1.542,0.098,4,Black Desert Championship
6,Stephan Jaeger,2.145,0.502,0.820,0.823,4,Black Desert Championship
7,Matt McCarty,2.135,0.932,0.538,0.666,4,Black Desert Championship
8,Doug Ghim,2.037,0.282,1.331,0.424,4,Black Desert Championship
9,Mac Meissner,2.015,0.357,1.841,-0.183,4,Black Desert Championship
10,Joel Dahmen,1.934,0.486,1.517,-0.069,4,Black Desert Championship
11,J.J. Spaun,1.718,0.901,0.504,0.312,4,Black Desert Championship
12,Ben Griffin,1.599,0.287,1.273,0.040,4,Black Desert Championship
13,Chris Kirk,1.509,0.168,1.336,0.005,4,Black Desert Championship
14,Adam Svensson,1.453,-0.370,1.474,0.349,4,Black Desert Championship
15,Alex Smalley,1.433,0.617,0.698,0.117,4,Black Desert Championship
16,Seamus Power,1.370,-0.488,1.455,0.403,4,Black Desert Championship
17,Tom Whitney,1.341,1.223,0.286,-0.169,4,Black Desert Championship
18,Greyson Sigg,1.318,0.150,0.235,0.933,4,Black Desert Championship
19,Nico Echavarria,1.279,-0.064,1.699,-0.356,4,Black Desert Championship
19,Rico Hoey,1.279,0.970,-0.034,0.343,4,Black Desert Championship
21,Nick Hardy,1.234,0.578,0.672,-0.016,4,Black Desert Championship
22,Max McGreevy,1.176,0.891,-0.079,0.363,4,Black Desert Championship
23,Sam Ryder,1.087,0.408,0.688,-0.010,4,Black Desert Championship
24,Daniel Berger,1.015,0.531,0.459,0.026,4,Black Desert Championship
25,Henrik Norlander,1.012,-0.067,1.192,-0.113,4,Black Desert Championship
26,Harris English,0.994,0.366,0.155,0.473,4,Black Desert Championship
27,Trey Mullinax,0.926,0.623,0.311,-0.008,4,Black Desert Championship
28,K.H. Lee,0.908,0.636,-0.534,0.806,4,Black Desert Championship
29,Wesley Bryan,0.889,0.780,0.301,-0.192,4,Black Desert Championship
30,Matti Schmid,0.857,1.244,0.301,-0.689,4,Black Desert Championship
31,Nick Taylor,0.815,0.529,0.027,0.260,4,Black Desert Championship
32,Joe Highsmith,0.791,-0.206,0.734,0.262,4,Black Desert Championship
33,Norman Xiong,0.780,0.067,1.147,-0.434,4,Black Desert Championship
34,Philip Knowles,0.761,0.652,-0.399,0.508,4,Black Desert Championship
35,Alejandro Tosti,0.633,1.476,-0.595,-0.249,4,Black Desert Championship
36,Ben Kohles,0.561,0.092,0.857,-0.388,4,Black Desert Championship
37,Carson Young,0.560,0.457,0.121,-0.017,4,Black Desert Championship
38,Jacob Bridgeman,0.533,0.490,0.200,-0.157,4,Black Desert Championship
39,Ryo Hisatsune,0.527,-0.036,0.873,-0.310,4,Black Desert Championship
40,Kevin Streelman,0.481,0.627,0.120,-0.266,4,Black Desert Championship
41,Patton Kizzire,0.358,-0.171,0.053,0.476,4,Black Desert Championship
42,Wilson Furr,0.343,-0.342,0.120,0.565,4,Black Desert Championship
43,Patrick Rodgers,0.342,-0.173,-0.108,0.623,4,Black Desert Championship
44,Harry Hall,0.267,0.308,-0.155,0.113,4,Black Desert Championship
45,Justin Suh,0.252,0.681,-0.460,0.030,4,Black Desert Championship
46,Scott Piercy,0.241,0.444,0.398,-0.600,4,Black Desert Championship
47,Lanto Griffin,0.187,0.366,0.801,-0.980,4,Black Desert Championship
48,Will Gordon,0.048,0.730,-0.393,-0.288,4,Black Desert Championship
49,Carl Yuan,-0.013,0.953,-1.014,0.048,4,Black Desert Championship
50,Erik van Rooyen,-0.057,-0.322,-0.369,0.634,4,Black Desert Championship
51,Nate Lashley,-0.080,0.118,-0.539,0.340,4,Black Desert Championship
52,Kevin Tway,-0.151,0.533,-1.093,0.409,4,Black Desert Championship
53,Cameron Champ,-0.165,0.403,0.130,-0.698,4,Black Desert Championship
54,Zac Blair,-0.188,-0.836,0.777,-0.128,4,Black Desert Championship
55,Trace Crowe,-0.193,-0.953,0.404,0.356,4,Black Desert Championship
56,Chan Kim,-0.202,-0.729,0.164,0.362,4,Black Desert Championship
57,Ryan Fox,-0.287,0.325,-0.972,0.360,4,Black Desert Championship
58,Tyler Duncan,-0.297,0.835,-0.794,-0.338,4,Black Desert Championship
59,Chad Ramey,-0.487,-0.591,0.292,-0.188,4,Black Desert Championship
60,Raul Pereda,-0.526,-0.474,-0.070,0.018,4,Black Desert Championship
61,Alexander Björk,-0.860,-0.777,0.416,-0.499,4,Black Desert Championship
62,Dylan Wu,-1.189,1.504,-2.178,-0.515,4,Black Desert Championship
63,Roger Sloan,-1.368,-0.695,-0.228,-0.445,4,Black Desert Championship
64,Chesson Hadley,-1.436,-0.223,-1.106,-0.107,4,Black Desert Championship
65,Tyson Alexander,-1.519,-1.967,-0.081,0.529,4,Black Desert Championship
66,Erik Barnes,-1.537,0.013,-1.639,0.089,4,Black Desert Championship
67,Chez Reavie,-1.808,-0.252,-0.466,-1.089,4,Black Desert Championship
68,Vince Whaley,-2.221,-1.503,-0.840,0.121,4,Black Desert Championship
69,S.H. Kim,-2.257,-0.534,-1.044,-0.678,4,Black Desert Championship
1,Gary Woodland,2.784,0.676,1.875,0.233,4,Sanderson Farms Championship
2,Eric Cole,2.676,-0.340,2.509,0.508,4,Sanderson Farms Championship
3,Austin Smotherman,2.075,0.560,1.873,-0.359,4,Sanderson Farms Championship
4,Bud Cauley,1.944,0.512,0.671,0.760,4,Sanderson Farms Championship
5,Daniel Berger,1.873,1.178,0.413,0.281,4,Sanderson Farms Championship
6,Beau Hossler,1.869,0.791,0.764,0.314,4,Sanderson Farms Championship
7,Alex Smalley,1.867,1.043,1.022,-0.199,4,Sanderson Farms Championship
8,Lucas Glover,1.714,-0.052,1.554,0.212,4,Sanderson Farms Championship
9,Ben Kohles,1.607,0.244,0.961,0.402,4,Sanderson Farms Championship
10,Seamus Power,1.606,0.243,0.815,0.548,4,Sanderson Farms Championship
11,Nick Dunlap,1.533,-0.203,1.360,0.376,4,Sanderson Farms Championship
12,Keith Mitchell,1.481,0.160,1.009,0.312,4,Sanderson Farms Championship
13,Martin Laird,1.372,0.080,0.672,0.620,4,Sanderson Farms Championship
14,Andrew Novak,1.342,0.026,0.767,0.548,4,Sanderson Farms Championship
15,Doug Ghim,1.300,0.321,0.374,0.605,4,Sanderson Farms Championship
16,Patton Kizzire,1.297,-0.158,0.944,0.510,4,Sanderson Farms Championship
17,K.H. Lee,1.231,0.774,-0.039,0.496,4,Sanderson Farms Championship
18,Charley Hoffman,1.190,0.201,1.117,-0.128,4,Sanderson Farms Championship
19,Matti Schmid,1.087,0.543,0.456,0.089,4,Sanderson Farms Championship
20,Nick Hardy,1.079,0.767,0.569,-0.258,4,Sanderson Farms Championship
21,Chan Kim,1.007,0.750,-1.023,1.279,4,Sanderson Farms Championship
22,Kevin Yu,0.962,0.510,0.653,-0.201,4,Sanderson Farms Championship
23,Will Gordon,0.952,0.181,0.007,0.763,4,Sanderson Farms Championship
24,Kevin Streelman,0.936,0.322,0.022,0.591,4,Sanderson Farms Championship
25,Ryan Fox,0.877,0.810,0.984,-0.917,4,Sanderson Farms Championship
26,Justin Lower,0.819,-0.223,0.822,0.220,4,Sanderson Farms Championship
27,Lee Hodges,0.782,0.007,1.440,-0.665,4,Sanderson Farms Championship
28,Brandon Wu,0.757,-0.233,0.403,0.586,4,Sanderson Farms Championship
29,Joseph Bramlett,0.747,-0.094,0.617,0.224,4,Sanderson Farms Championship
30,Mackenzie Hughes,0.730,-0.115,0.945,-0.100,4,Sanderson Farms Championship
31,Rickie Fowler,0.691,0.045,0.395,0.250,4,Sanderson Farms Championship
32,Joe Highsmith,0.674,0.098,0.381,0.195,4,Sanderson Farms Championship
33,Michael Thorbjornsen,0.651,0.876,-0.552,0.327,4,Sanderson Farms Championship
34,Ryan Hall,0.636,0.184,0.749,-0.298,4,Sanderson Farms Championship
35,Trey Mullinax,0.624,0.583,-0.204,0.245,4,Sanderson Farms Championship
36,Jhonattan Vegas,0.587,0.934,-0.322,-0.025,4,Sanderson Farms Championship
37,Adrien Dumont de Chassart,0.585,-0.320,0.254,0.651,4,Sanderson Farms Championship
38,Wesley Bryan,0.567,0.451,0.038,0.078,4,Sanderson Farms Championship
39,Mac Meissner,0.453,0.148,0.398,-0.094,4,Sanderson Farms Championship
40,Emiliano Grillo,0.439,-0.028,0.553,-0.086,4,Sanderson Farms Championship
41,Trace Crowe,0.393,-0.016,-0.127,0.536,4,Sanderson Farms Championship
42,Henrik Norlander,0.369,0.418,0.171,-0.220,4,Sanderson Farms Championship
43,Chandler Phillips,0.353,0.701,0.429,-0.777,4,Sanderson Farms Championship
44,Brandt Snedeker,0.297,-0.557,0.580,0.274,4,Sanderson Farms Championship
45,Patrick Fishburn,0.277,0.022,-0.278,0.533,4,Sanderson Farms Championship
46,Brice Garnett,0.268,-0.763,0.620,0.411,4,Sanderson Farms Championship
47,David Skinns,0.251,-1.617,1.668,0.199,4,Sanderson Farms Championship
48,Carson Young,0.137,0.333,0.313,-0.510,4,Sanderson Farms Championship
49,Stephan Jaeger,0.113,0.818,-0.812,0.107,4,Sanderson Farms Championship
50,Nate Lashley,0.111,-0.459,0.413,0.156,4,Sanderson Farms Championship
51,Chesson Hadley,0.069,-0.373,0.454,-0.012,4,Sanderson Farms Championship
52,Ben Griffin,0.060,-0.553,-0.374,0.987,4,Sanderson Farms Championship
53,Vince Whaley,-0.073,0.080,0.195,-0.348,4,Sanderson Farms Championship
54,Hayden Springer,-0.075,0.292,-1.264,0.897,4,Sanderson Farms Championship
55,Bill Haas,-0.094,0.002,-0.267,0.171,4,Sanderson Farms Championship
56,Jacob Bridgeman,-0.109,0.160,-0.510,0.240,4,Sanderson Farms Championship
57,Matt NeSmith,-0.125,-0.653,1.567,-1.039,4,Sanderson Farms Championship
