rank,player,avg,total_sg_arg,measured_rounds,tournament
1,Stewart Cink,1.244,3.731,3,The RSM Classic
2,Mackenzie Hughes,1.158,3.475,3,The RSM Classic
3,Andrew Novak,1.133,3.399,3,The RSM Classic
4,Garrick Higgo,1.070,3.210,3,The RSM Classic
5,Mark Hubbard,0.976,2.929,3,The RSM Classic
6,Adrien Dumont de Chassart,0.971,2.914,3,The RSM Classic
7,Taylor Montgomery,0.860,2.580,3,The RSM Classic
8,Joel Dahmen,0.847,2.541,3,The RSM Classic
9,Bud Cauley,0.775,2.325,3,The RSM Classic
10,Michael Thorbjornsen,0.571,1.714,3,The RSM Classic
11,Matt Wallace,0.562,1.687,3,The RSM Classic
12,William McGirt,0.561,1.684,3,The RSM Classic
13,Denny McCarthy,0.515,1.544,3,The RSM Classic
14,Kevin Yu,0.514,1.541,3,The RSM Classic
15,Joseph Bramlett,0.513,1.539,3,The RSM Classic
16,Paul Peterson,0.494,1.483,3,The RSM Classic
17,Joe Highsmith,0.487,1.462,3,The RSM Classic
18,S.Y. Noh,0.470,1.410,3,The RSM Classic
19,Kevin Chappell,0.461,1.383,3,The RSM Classic
20,Will Gordon,0.453,1.358,3,The RSM Classic
21,Lee Hodges,0.440,1.321,3,The RSM Classic
22,Patrick Fishburn,0.417,1.251,3,The RSM Classic
23,Patton Kizzire,0.415,1.246,3,The RSM Classic
24,Ben Griffin,0.360,1.079,3,The RSM Classic
25,Russell Knox,0.284,0.852,3,The RSM Classic
26,Henrik Norlander,0.249,0.747,3,The RSM Classic
27,Eric Cole,0.248,0.744,3,The RSM Classic
28,Maverick McNealy,0.247,0.741,3,The RSM Classic
29,Adam Schenk,0.199,0.598,3,The RSM Classic
30,Daniel Berger,0.178,0.535,3,The RSM Classic
31,Vince Whaley,0.141,0.424,3,The RSM Classic
32,Brandon Wu,0.107,0.321,3,The RSM Classic
33,J.T. Poston,0.080,0.241,3,The RSM Classic
34,Lucas Glover,0.076,0.229,3,The RSM Classic
35,Martin Laird,0.058,0.173,3,The RSM Classic
36,Harris English,0.053,0.158,3,The RSM Classic
37,Brian Harman,0.046,0.139,3,The RSM Classic
38,Davis Thompson,0.040,0.120,3,The RSM Classic
39,Adam Hadwin,-0.003,-0.010,3,The RSM Classic
40,Tyson Alexander,-0.016,-0.048,3,The RSM Classic
41,Jake Knapp,-0.060,-0.179,3,The RSM Classic
42,Ludvig Åberg,-0.124,-0.372,3,The RSM Classic
43,Hayden Springer,-0.132,-0.397,3,The RSM Classic
44,Kevin Tway,-0.163,-0.490,3,The RSM Classic
45,Austin Smotherman,-0.175,-0.526,3,The RSM Classic
46,Carson Young,-0.198,-0.595,3,The RSM Classic
47,Michael Kim,-0.202,-0.605,3,The RSM Classic
48,Marcus Byrd,-0.206,-0.618,3,The RSM Classic
49,Luke Clanton,-0.232,-0.696,3,The RSM Classic
49,Kelly Kraft,-0.232,-0.696,3,The RSM Classic
49,Martin Trainer,-0.232,-0.697,3,The RSM Classic
52,Callum Tarren,-0.235,-0.705,3,The RSM Classic
53,Patrick Rodgers,-0.237,-0.711,3,The RSM Classic
54,Robby Shelton,-0.261,-0.783,3,The RSM Classic
55,S.H. Kim,-0.280,-0.841,3,The RSM Classic
56,Ryo Hisatsune,-0.297,-0.890,3,The RSM Classic
57,Philip Knowles,-0.325,-0.974,3,The RSM Classic
58,Nico Echavarria,-0.344,-1.033,3,The RSM Classic
58,Sam Stevens,-0.344,-1.032,3,The RSM Classic
60,Jonathan Byrd,-0.378,-1.134,3,The RSM Classic
61,Christo Lamprecht,-0.406,-1.218,3,The RSM Classic
61,Taylor Moore,-0.406,-1.218,3,The RSM Classic
63,Steven Fisk,-0.466,-1.398,3,The RSM Classic
64,Austin Eckroat,-0.477,-1.432,3,The RSM Classic
65,Chandler Phillips,-0.640,-1.921,3,The RSM Classic
66,Blake McShea,-0.693,-2.078,3,The RSM Classic
67,Lanto Griffin,-0.925,-2.776,3,The RSM Classic
68,Doug Ghim,-0.991,-2.974,3,The RSM Classic
69,Adam Svensson,-1.010,-3.031,3,The RSM Classic
1,Naoyuki Kataoka,1.772,7.087,4,ZOZO CHAMPIONSHIP
2,Nate Lashley,1.204,4.816,4,ZOZO CHAMPIONSHIP
3,Justin Thomas,0.835,3.338,4,ZOZO CHAMPIONSHIP
4,Sahith Theegala,0.725,2.901,4,ZOZO CHAMPIONSHIP
5,Zac Blair,0.668,2.672,4,ZOZO CHAMPIONSHIP
6,Sungjae Im,0.649,2.596,4,ZOZO CHAMPIONSHIP
7,Luke List,0.566,2.263,4,ZOZO CHAMPIONSHIP
8,Andrew Novak,0.563,2.252,4,ZOZO CHAMPIONSHIP
9,Andrew Putnam,0.550,2.200,4,ZOZO CHAMPIONSHIP
10,Beau Hossler,0.546,2.184,4,ZOZO CHAMPIONSHIP
11,Matt Kuchar,0.537,2.147,4,ZOZO CHAMPIONSHIP
12,Taylor Moore,0.373,1.493,4,ZOZO CHAMPIONSHIP
13,Kurt Kitayama,0.363,1.452,4,ZOZO CHAMPIONSHIP
14,S.H. Kim,0.336,1.342,4,ZOZO CHAMPIONSHIP
15,Taisei Shimizu,0.333,1.332,4,ZOZO CHAMPIONSHIP
16,Chan Kim,0.325,1.299,4,ZOZO CHAMPIONSHIP
17,Min Woo Lee,0.308,1.233,4,ZOZO CHAMPIONSHIP
18,Kevin Yu,0.306,1.223,4,ZOZO CHAMPIONSHIP
19,Ben Griffin,0.297,1.186,4,ZOZO CHAMPIONSHIP
20,Hiroshi Iwata,0.285,1.139,4,ZOZO CHAMPIONSHIP
21,Chad Ramey,0.276,1.104,4,ZOZO CHAMPIONSHIP
22,Mac Meissner,0.269,1.075,4,ZOZO CHAMPIONSHIP
23,Eric Cole,0.266,1.062,4,ZOZO CHAMPIONSHIP
24,Yuta Sugiura,0.250,1.001,4,ZOZO CHAMPIONSHIP
25,Si Woo Kim,0.248,0.992,4,ZOZO CHAMPIONSHIP
26,Ben Silverman,0.232,0.928,4,ZOZO CHAMPIONSHIP
27,Nico Echavarria,0.226,0.902,4,ZOZO CHAMPIONSHIP
28,Kensei Hirata,0.225,0.899,4,ZOZO CHAMPIONSHIP
29,Nick Taylor,0.146,0.584,4,ZOZO CHAMPIONSHIP
29,Ren Yonezawa,0.146,0.582,4,ZOZO CHAMPIONSHIP
31,Justin Lower,0.145,0.580,4,ZOZO CHAMPIONSHIP
32,Chandler Phillips,0.132,0.526,4,ZOZO CHAMPIONSHIP
33,David Skinns,0.111,0.444,4,ZOZO CHAMPIONSHIP
34,K.H. Lee,0.109,0.437,4,ZOZO CHAMPIONSHIP
35,Victor Perez,0.072,0.289,4,ZOZO CHAMPIONSHIP
36,Rico Hoey,0.060,0.241,4,ZOZO CHAMPIONSHIP
37,Doug Ghim,0.052,0.206,4,ZOZO CHAMPIONSHIP
38,Charley Hoffman,0.020,0.078,4,ZOZO CHAMPIONSHIP
39,Harry Hall,0.010,0.041,4,ZOZO CHAMPIONSHIP
40,Hideki Matsuyama,0.009,0.035,4,ZOZO CHAMPIONSHIP
41,Rickie Fowler,-0.009,-0.038,4,ZOZO CHAMPIONSHIP
42,Ryosuke Kinoshita,-0.013,-0.054,4,ZOZO CHAMPIONSHIP
43,C.T. Pan,-0.015,-0.061,4,ZOZO CHAMPIONSHIP
44,Takashi Ogiso,-0.017,-0.070,4,ZOZO CHAMPIONSHIP
45,Yuto Katsuragawa,-0.043,-0.172,4,ZOZO CHAMPIONSHIP
46,Patrick Fishburn,-0.057,-0.229,4,ZOZO CHAMPIONSHIP
47,Satoshi Kodaira,-0.071,-0.284,4,ZOZO CHAMPIONSHIP
48,Ryan Fox,-0.095,-0.381,4,ZOZO CHAMPIONSHIP
49,Adam Schenk,-0.102,-0.408,4,ZOZO CHAMPIONSHIP
50,Adam Svensson,-0.115,-0.460,4,ZOZO CHAMPIONSHIP
51,Gary Woodland,-0.161,-0.646,4,ZOZO CHAMPIONSHIP
52,Max Homa,-0.177,-0.708,4,ZOZO CHAMPIONSHIP
53,Ryo Ishikawa,-0.197,-0.789,4,ZOZO CHAMPIONSHIP
54,J.J. Spaun,-0.204,-0.817,4,ZOZO CHAMPIONSHIP
55,Takumi Kanaya,-0.228,-0.913,4,ZOZO CHAMPIONSHIP
56,Seamus Power,-0.292,-1.169,4,ZOZO CHAMPIONSHIP
57,Chris Gotterup,-0.297,-1.188,4,ZOZO CHAMPIONSHIP
58,Shugo Imahira,-0.299,-1.198,4,ZOZO CHAMPIONSHIP
59,Carson Young,-0.318,-1.274,4,ZOZO CHAMPIONSHIP
60,Lee Hodges,-0.345,-1.381,4,ZOZO CHAMPIONSHIP
61,Max Greyserman,-0.387,-1.548,4,ZOZO CHAMPIONSHIP
62,Ben Kohles,-0.388,-1.553,4,ZOZO CHAMPIONSHIP
63,Davis Riley,-0.409,-1.635,4,ZOZO CHAMPIONSHIP
64,Jhonattan Vegas,-0.447,-1.788,4,ZOZO CHAMPIONSHIP
65,Patrick Rodgers,-0.461,-1.846,4,ZOZO CHAMPIONSHIP
66,Brendon Todd,-0.495,-1.980,4,ZOZO CHAMPIONSHIP
67,Will Zalatoris,-0.516,-2.066,4,ZOZO CHAMPIONSHIP
68,Collin Morikawa,-0.575,-2.299,4,ZOZO CHAMPIONSHIP
69,Kaito Onishi,-0.689,-2.756,4,ZOZO CHAMPIONSHIP
70,Sam Stevens,-0.700,-2.799,4,ZOZO CHAMPIONSHIP
71,Xander Schauffele,-0.728,-2.913,4,ZOZO CHAMPIONSHIP
72,Takahiro Hataji,-0.779,-3.116,4,ZOZO CHAMPIONSHIP
72,Ryo Hisatsune,-0.779,-3.118,4,ZOZO CHAMPIONSHIP
74,Joel Dahmen,-0.815,-3.260,4,ZOZO CHAMPIONSHIP
75,Mark Hubbard,-0.839,-3.357,4,ZOZO CHAMPIONSHIP
76,Sami Valimaki,-1.185,-4.742,4,ZOZO CHAMPIONSHIP
77,Tom Hoge,-1.254,-5.017,4,ZOZO CHAMPIONSHIP
1,Harris English,1.457,5.829,4,Shriners Children's Open
2,Vince Whaley,1.394,5.576,4,Shriners Children's Open
3,Matt Kuchar,1.191,4.763,4,Shriners Children's Open
4,David Lipsky,1.177,4.709,4,Shriners Children's Open
5,Andrew Putnam,1.016,4.066,4,Shriners Children's Open
6,J.T. Poston,0.994,3.977,4,Shriners Children's Open
7,Jacob Bridgeman,0.916,3.665,4,Shriners Children's Open
8,Kurt Kitayama,0.863,3.452,4,Shriners Children's Open
9,Davis Thompson,0.858,3.433,4,Shriners Children's Open
10,Scott Piercy,0.828,3.312,4,Shriners Children's Open
11,C.T. Pan,0.796,3.186,4,Shriners Children's Open
12,Joe Highsmith,0.712,2.847,4,Shriners Children's Open
13,Maverick McNealy,0.652,2.609,4,Shriners Children's Open
14,Sam Stevens,0.643,2.571,4,Shriners Children's Open
15,Ben Taylor,0.618,2.471,4,Shriners Children's Open
16,Rico Hoey,0.609,2.435,4,Shriners Children's Open
17,Greyson Sigg,0.533,2.131,4,Shriners Children's Open
18,Joseph Bramlett,0.532,2.127,4,Shriners Children's Open
19,Justin Suh,0.452,1.810,4,Shriners Children's Open
20,S.H. Kim,0.451,1.805,4,Shriners Children's Open
21,Nicolo Galletti,0.429,1.718,4,Shriners Children's Open
22,Chad Ramey,0.414,1.656,4,Shriners Children's Open
23,Beau Hossler,0.400,1.600,4,Shriners Children's Open
24,J.J. Spaun,0.395,1.579,4,Shriners Children's Open
25,Austin Eckroat,0.388,1.551,4,Shriners Children's Open
26,Taylor Moore,0.387,1.550,4,Shriners Children's Open
27,Nate Lashley,0.320,1.280,4,Shriners Children's Open
28,Ryan Fox,0.316,1.263,4,Shriners Children's Open
29,Camilo Villegas,0.304,1.218,4,Shriners Children's Open
30,Alejandro Tosti,0.301,1.204,4,Shriners Children's Open
31,K.H. Lee,0.284,1.138,4,Shriners Children's Open
32,Ryan Moore,0.265,1.062,4,Shriners Children's Open
33,Harry Hall,0.245,0.980,4,Shriners Children's Open
34,Michael Kim,0.179,0.716,4,Shriners Children's Open
35,Matti Schmid,0.158,0.631,4,Shriners Children's Open
36,Trace Crowe,0.074,0.298,4,Shriners Children's Open
37,Ian Gilligan,0.063,0.252,4,Shriners Children's Open
38,Doug Ghim,0.062,0.250,4,Shriners Children's Open
39,Chris Gotterup,0.058,0.234,4,Shriners Children's Open
40,Mark Hubbard,0.009,0.036,4,Shriners Children's Open
41,Zac Blair,-0.027,-0.109,4,Shriners Children's Open
42,Nick Taylor,-0.035,-0.140,4,Shriners Children's Open
43,Daniel Berger,-0.060,-0.241,4,Shriners Children's Open
44,Ryan McCormick,-0.073,-0.293,4,Shriners Children's Open
45,Luke List,-0.121,-0.483,4,Shriners Children's Open
46,Alex Smalley,-0.164,-0.654,4,Shriners Children's Open
47,Norman Xiong,-0.200,-0.799,4,Shriners Children's Open
48,Gary Woodland,-0.308,-1.233,4,Shriners Children's Open
49,Erik van Rooyen,-0.325,-1.300,4,Shriners Children's Open
50,Garrick Higgo,-0.345,-1.381,4,Shriners Children's Open
51,Rickie Fowler,-0.366,-1.463,4,Shriners Children's Open
52,Bud Cauley,-0.384,-1.537,4,Shriners Children's Open
53,Ben Silverman,-0.464,-1.857,4,Shriners Children's Open
54,Patrick Fishburn,-0.474,-1.896,4,Shriners Children's Open
54,Adam Schenk,-0.474,-1.895,4,Shriners Children's Open
56,Pierceson Coody,-0.659,-2.637,4,Shriners Children's Open
57,Jhonattan Vegas,-0.668,-2.672,4,Shriners Children's Open
58,Wilson Furr,-0.729,-2.914,4,Shriners Children's Open
59,Dan McCarthy,-0.761,-3.044,4,Shriners Children's Open
60,Francesco Molinari,-0.809,-3.235,4,Shriners Children's Open
61,Neal Shipley,-0.830,-3.320,4,Shriners Children's Open
62,Lanto Griffin,-0.867,-3.468,4,Shriners Children's Open
63,Tyler Duncan,-0.917,-3.668,4,Shriners Children's Open
63,Taylor Pendrith,-0.917,-3.668,4,Shriners Children's Open
65,Davis Riley,-0.965,-3.859,4,Shriners Children's Open
66,David Skinns,-1.070,-4.278,4,Shriners Children's Open
1,Beau Hossler,1.343,5.371,4,Black Desert Championship
2,Greyson Sigg,0.933,3.732,4,Black Desert Championship
3,Stephan Jaeger,0.823,3.292,4,Black Desert Championship
4,K.H. Lee,0.806,3.223,4,Black Desert Championship
5,Joseph Bramlett,0.757,3.028,4,Black Desert Championship
6,Matt McCarty,0.666,2.662,4,Black Desert Championship
7,Erik van Rooyen,0.634,2.536,4,Black Desert Championship
8,Patrick Rodgers,0.623,2.490,4,Black Desert Championship
9,Wilson Furr,0.565,2.258,4,Black Desert Championship
10,Tyson Alexander,0.529,2.116,4,Black Desert Championship
11,Philip Knowles,0.508,2.031,4,Black Desert Championship
12,Patton Kizzire,0.476,1.902,4,Black Desert Championship
13,Harris English,0.473,1.890,4,Black Desert Championship
14,Doug Ghim,0.424,1.694,4,Black Desert Championship
15,Kevin Tway,0.409,1.637,4,Black Desert Championship
16,Seamus Power,0.403,1.612,4,Black Desert Championship
17,Max McGreevy,0.363,1.450,4,Black Desert Championship
18,Chan Kim,0.362,1.449,4,Black Desert Championship
19,Ryan Fox,0.360,1.438,4,Black Desert Championship
20,Trace Crowe,0.356,1.423,4,Black Desert Championship
21,Adam Svensson,0.349,1.397,4,Black Desert Championship
22,Rico Hoey,0.343,1.373,4,Black Desert Championship
23,Nate Lashley,0.340,1.361,4,Black Desert Championship
24,J.J. Spaun,0.312,1.249,4,Black Desert Championship
25,Joe Highsmith,0.262,1.046,4,Black Desert Championship
26,Nick Taylor,0.260,1.038,4,Black Desert Championship
27,Lucas Glover,0.201,0.803,4,Black Desert Championship
28,Kurt Kitayama,0.175,0.701,4,Black Desert Championship
29,Vince Whaley,0.121,0.485,4,Black Desert Championship
30,Alex Smalley,0.117,0.469,4,Black Desert Championship
31,Harry Hall,0.113,0.453,4,Black Desert Championship
32,Lee Hodges,0.098,0.391,4,Black Desert Championship
33,Erik Barnes,0.089,0.355,4,Black Desert Championship
34,Carl Yuan,0.048,0.191,4,Black Desert Championship
35,Ben Griffin,0.040,0.158,4,Black Desert Championship
36,Justin Suh,0.030,0.120,4,Black Desert Championship
37,Daniel Berger,0.026,0.103,4,Black Desert Championship
38,Raul Pereda,0.018,0.072,4,Black Desert Championship
39,Chris Kirk,0.005,0.018,4,Black Desert Championship
40,Trey Mullinax,-0.008,-0.034,4,Black Desert Championship
41,Sam Ryder,-0.010,-0.039,4,Black Desert Championship
42,Nick Hardy,-0.016,-0.064,4,Black Desert Championship
43,Carson Young,-0.017,-0.069,4,Black Desert Championship
44,Joel Dahmen,-0.069,-0.278,4,Black Desert Championship
45,Chesson Hadley,-0.107,-0.428,4,Black Desert Championship
46,Henrik Norlander,-0.113,-0.451,4,Black Desert Championship
47,Zac Blair,-0.128,-0.514,4,Black Desert Championship
48,Jacob Bridgeman,-0.157,-0.628,4,Black Desert Championship
49,Tom Whitney,-0.169,-0.675,4,Black Desert Championship
50,Mac Meissner,-0.183,-0.734,4,Black Desert Championship
51,Chad Ramey,-0.188,-0.751,4,Black Desert Championship
52,Wesley Bryan,-0.192,-0.768,4,Black Desert Championship
53,Alejandro Tosti,-0.249,-0.997,4,Black Desert Championship
54,Kevin Streelman,-0.266,-1.066,4,Black Desert Championship
55,Will Gordon,-0.288,-1.154,4,Black Desert Championship
56,Ryo Hisatsune,-0.310,-1.241,4,Black Desert Championship
57,Tyler Duncan,-0.338,-1.351,4,Black Desert Championship
58,Nico Echavarria,-0.356,-1.426,4,Black Desert Championship
59,Ben Kohles,-0.388,-1.552,4,Black Desert Championship
60,Norman Xiong,-0.434,-1.738,4,Black Desert Championship
61,Roger Sloan,-0.445,-1.780,4,Black Desert Championship
62,Alexander Björk,-0.499,-1.997,4,Black Desert Championship
63,Dylan Wu,-0.515,-2.060,4,Black Desert Championship
64,Scott Piercy,-0.600,-2.402,4,Black Desert Championship
65,S.H. Kim,-0.678,-2.713,4,Black Desert Championship
66,Matti Schmid,-0.689,-2.755,4,Black Desert Championship
67,Cameron Champ,-0.698,-2.794,4,Black Desert Championship
68,Lanto Griffin,-0.980,-3.921,4,Black Desert Championship
69,Chez Reavie,-1.089,-4.358,4,Black Desert Championship
1,Chan Kim,1.279,5.115,4,Sanderson Farms Championship
2,Ben Griffin,0.987,3.948,4,Sanderson Farms Championship
3,Nicholas Lindheim,0.948,3.793,4,Sanderson Farms Championship
4,Hayden Springer,0.897,3.586,4,Sanderson Farms Championship
5,Will Gordon,0.763,3.053,4,Sanderson Farms Championship
6,Bud Cauley,0.760,3.041,4,Sanderson Farms Championship
7,Adrien Dumont de Chassart,0.651,2.605,4,Sanderson Farms Championship
8,Martin Laird,0.620,2.479,4,Sanderson Farms Championship
9,Doug Ghim,0.605,2.421,4,Sanderson Farms Championship
10,Kevin Streelman,0.591,2.364,4,Sanderson Farms Championship
11,Brandon Wu,0.586,2.342,4,Sanderson Farms Championship
12,Andrew Novak,0.548,2.192,4,Sanderson Farms Championship
12,Seamus Power,0.548,2.191,4,Sanderson Farms Championship
14,Trace Crowe,0.536,2.143,4,Sanderson Farms Championship
15,Patrick Fishburn,0.533,2.133,4,Sanderson Farms Championship
16,Patton Kizzire,0.510,2.041,4,Sanderson Farms Championship
17,Eric Cole,0.508,2.031,4,Sanderson Farms Championship
18,K.H. Lee,0.496,1.982,4,Sanderson Farms Championship
19,Brice Garnett,0.411,1.644,4,Sanderson Farms Championship
20,Ben Kohles,0.402,1.607,4,Sanderson Farms Championship
21,Nick Dunlap,0.376,1.502,4,Sanderson Farms Championship
22,Michael Thorbjornsen,0.327,1.309,4,Sanderson Farms Championship
23,Beau Hossler,0.314,1.257,4,Sanderson Farms Championship
24,Keith Mitchell,0.312,1.247,4,Sanderson Farms Championship
25,Daniel Berger,0.281,1.124,4,Sanderson Farms Championship
26,Brandt Snedeker,0.274,1.094,4,Sanderson Farms Championship
27,Rickie Fowler,0.250,0.999,4,Sanderson Farms Championship
28,Trey Mullinax,0.245,0.978,4,Sanderson Farms Championship
29,Jacob Bridgeman,0.240,0.961,4,Sanderson Farms Championship
30,Gary Woodland,0.233,0.930,4,Sanderson Farms Championship
31,Joseph Bramlett,0.224,0.895,4,Sanderson Farms Championship
32,Justin Lower,0.220,0.880,4,Sanderson Farms Championship
33,Lucas Glover,0.212,0.849,4,Sanderson Farms Championship
34,David Skinns,0.199,0.794,4,Sanderson Farms Championship
35,Joe Highsmith,0.195,0.781,4,Sanderson Farms Championship
36,Rico Hoey,0.177,0.708,4,Sanderson Farms Championship
37,Bill Haas,0.171,0.685,4,Sanderson Farms Championship
38,Nate Lashley,0.156,0.625,4,Sanderson Farms Championship
39,Stephan Jaeger,0.107,0.426,4,Sanderson Farms Championship
40,Matti Schmid,0.089,0.355,4,Sanderson Farms Championship
41,Wesley Bryan,0.078,0.311,4,Sanderson Farms Championship
42,Sam Stevens,0.041,0.164,4,Sanderson Farms Championship
43,Chesson Hadley,-0.012,-0.050,4,Sanderson Farms Championship
44,Jhonattan Vegas,-0.025,-0.100,4,Sanderson Farms Championship
45,Luke List,-0.054,-0.215,4,Sanderson Farms Championship
46,Emiliano Grillo,-0.086,-0.345,4,Sanderson Farms Championship
47,Mac Meissner,-0.094,-0.375,4,Sanderson Farms Championship
48,Mackenzie Hughes,-0.100,-0.400,4,Sanderson Farms Championship
49,Charley Hoffman,-0.128,-0.513,4,Sanderson Farms Championship
50,Alex Smalley,-0.199,-0.796,4,Sanderson Farms Championship
51,Kevin Yu,-0.201,-0.804,4,Sanderson Farms Championship
52,Taylor Moore,-0.202,-0.809,4,Sanderson Farms Championship
53,Henrik Norlander,-0.220,-0.880,4,Sanderson Farms Championship
54,Nick Hardy,-0.258,-1.032,4,Sanderson Farms Championship
55,Ryan Hall,-0.298,-1.192,4,Sanderson Farms Championship
56,Vince Whaley,-0.348,-1.391,4,Sanderson Farms Championship
57,Matt McCarty,-0.357,-1.428,4,Sanderson Farms Championship
58,Austin Smotherman,-0.359,-1.436,4,Sanderson Farms Championship
59,Carson Young,-0.510,-2.039,4,Sanderson Farms Championship
60,Lee Hodges,-0.665,-2.661,4,Sanderson Farms Championship
61,Roger Sloan,-0.724,-2.896,4,Sanderson Farms Championship
62,Paul Barjon,-0.776,-3.103,4,Sanderson Farms Championship
63,Chandler Phillips,-0.777,-3.109,4,Sanderson Farms Championship
64,Sami Valimaki,-0.783,-3.132,4,Sanderson Farms Championship
65,Ryan Fox,-0.917,-3.670,4,Sanderson Farms Championship
66,Matt NeSmith,-1.039,-4.156,4,Sanderson Farms Championship
66,Callum Tarren,-1.039,-4.155,4,Sanderson Farms Championship
68,Mark Hubbard,-1.409,-5.635,4,Sanderson Farms Championship
1,Henrik Norlander,1.290,5.159,4,Procore Championship
2,Brendon Todd,1.055,4.220,4,Procore Championship
3,Charley Hoffman,0.997,3.989,4,Procore Championship
4,Brandon Wu,0.989,3.957,4,Procore Championship
5,Greyson Sigg,0.927,3.710,4,Procore Championship
6,Patton Kizzire,0.907,3.628,4,Procore Championship
7,Justin Suh,0.847,3.390,4,Procore Championship
8,J.B. Holmes,0.832,3.327,4,Procore Championship
9,Webb Simpson,0.774,3.098,4,Procore Championship
10,Martin Laird,0.762,3.049,4,Procore Championship
11,Chandler Phillips,0.729,2.918,4,Procore Championship
12,Patrick Fishburn,0.722,2.887,4,Procore Championship
13,Sam Stevens,0.708,2.832,4,Procore Championship
14,Kevin Chappell,0.695,2.782,4,Procore Championship
15,Tom Johnson,0.656,2.624,4,Procore Championship
16,Chan Kim,0.644,2.578,4,Procore Championship
17,Aaron Baddeley,0.639,2.556,4,Procore Championship
18,Sahith Theegala,0.629,2.518,4,Procore Championship
19,Adam Svensson,0.615,2.460,4,Procore Championship
20,Neal Shipley,0.497,1.988,4,Procore Championship
21,Mackenzie Hughes,0.392,1.568,4,Procore Championship
22,Kevin Tway,0.366,1.464,4,Procore Championship
23,Roger Sloan,0.317,1.270,4,Procore Championship
24,Joel Dahmen,0.276,1.105,4,Procore Championship
25,Lucas Glover,0.256,1.025,4,Procore Championship
26,Chad Ramey,0.252,1.008,4,Procore Championship
27,Andrew Putnam,0.247,0.987,4,Procore Championship
28,David Lipsky,0.244,0.976,4,Procore Championship
29,Ben Silverman,0.221,0.885,4,Procore Championship
30,Patrick Rodgers,0.188,0.751,4,Procore Championship
31,Min Woo Lee,0.181,0.725,4,Procore Championship
32,Corey Conners,0.166,0.666,4,Procore Championship
33,Chez Reavie,0.145,0.579,4,Procore Championship
34,Keith Mitchell,0.134,0.537,4,Procore Championship
35,Joe Highsmith,0.132,0.527,4,Procore Championship
36,Zac Blair,0.115,0.461,4,Procore Championship
37,Lanto Griffin,0.084,0.335,4,Procore Championship
38,"Blaine Hale, Jr.",0.080,0.322,4,Procore Championship
39,Rafael Campos,0.071,0.283,4,Procore Championship
40,Justin Lower,0.059,0.238,4,Procore Championship
41,J.J. Spaun,0.054,0.216,4,Procore Championship
42,Tom Whitney,0.048,0.192,4,Procore Championship
43,Wilson Furr,0.046,0.186,4,Procore Championship
44,Wesley Bryan,0.026,0.105,4,Procore Championship
45,Kevin Dougherty,-0.023,-0.093,4,Procore Championship
46,Matt Kuchar,-0.068,-0.273,4,Procore Championship
47,David Skinns,-0.084,-0.337,4,Procore Championship
48,Austin Smotherman,-0.095,-0.381,4,Procore Championship
49,Tom Hoge,-0.112,-0.446,4,Procore Championship
50,Jhonattan Vegas,-0.143,-0.572,4,Procore Championship
51,Bud Cauley,-0.197,-0.786,4,Procore Championship
52,Garrick Higgo,-0.208,-0.832,4,Procore Championship
53,Brandt Snedeker,-0.237,-0.946,4,Procore Championship
54,Rico Hoey,-0.289,-1.157,4,Procore Championship
55,Johnny Keefer,-0.349,-1.397,4,Procore Championship
56,Doug Ghim,-0.401,-1.605,4,Procore Championship
57,Michael Thorbjornsen,-0.435,-1.741,4,Procore Championship
58,Nick Hardy,-0.453,-1.810,4,Procore Championship
59,Matti Schmid,-0.485,-1.939,4,Procore Championship
60,Ben Kohles,-0.561,-2.244,4,Procore Championship
61,Josh Teater,-0.614,-2.455,4,Procore Championship
62,Sangmoon Bae,-0.693,-2.770,4,Procore Championship
63,Pierceson Coody,-0.736,-2.942,4,Procore Championship
64,Luke Clanton,-0.824,-3.294,4,Procore Championship
65,Chesson Hadley,-1.736,-6.945,4,Procore Championship
1,Russell Henley,1.102,4.408,4,TOUR Championship
2,Sungjae Im,1.040,4.161,4,TOUR Championship
3,Collin Morikawa,0.885,3.539,4,TOUR Championship
4,Xander Schauffele,0.804,3.216,4,TOUR Championship
5,Justin Thomas,0.780,3.119,4,TOUR Championship
6,Sahith Theegala,0.642,2.566,4,TOUR Championship
7,Adam Scott,0.352,1.406,4,TOUR Championship
8,Billy Horschel,0.341,1.362,4,TOUR Championship
9,Patrick Cantlay,0.216,0.865,4,TOUR Championship
10,Chris Kirk,0.073,0.293,4,TOUR Championship
11,Tom Hoge,0.053,0.213,4,TOUR Championship
12,Ludvig Åberg,0.045,0.181,4,TOUR Championship
13,Robert MacIntyre,-0.083,-0.334,4,TOUR Championship
14,Keegan Bradley,-0.085,-0.340,4,TOUR Championship
15,Wyndham Clark,-0.091,-0.366,4,TOUR Championship
16,Matthieu Pavon,-0.102,-0.408,4,TOUR Championship
17,Shane Lowry,-0.132,-0.530,4,TOUR Championship
18,Akshay Bhatia,-0.170,-0.682,4,TOUR Championship
19,Tommy Fleetwood,-0.193,-0.774,4,TOUR Championship
20,Aaron Rai,-0.194,-0.775,4,TOUR Championship
21,Viktor Hovland,-0.199,-0.795,4,TOUR Championship
22,Scottie Scheffler,-0.245,-0.981,4,TOUR Championship
23,Hideki Matsuyama,-0.382,-1.530,4,TOUR Championship
24,Byeong Hun An,-0.432,-1.729,4,TOUR Championship
